famiglia,vincoli_con_duale_non_nullo
accumulazione,1960
banda_import,667
bilancio,710
capacita,501
import_totale,10
inv_max,22
inv_min,13
lavoro,10
o2,630
quote,710
scorte,110
scorte_minime,62
terminale,2
terminale_scorte,4
