famiglia,vincoli_con_duale_non_nullo
accumulazione,980
banda_import,343
bilancio,355
capacita,152
import_totale,5
inv_max,8
inv_min,7
lavoro,5
o2,315
quote,355
scorte,55
scorte_minime,29
terminale,4
terminale_scorte,6
