famiglia,vincoli_con_duale_non_nullo
accumulazione,1950
bilancio,587
capacita,16
distanza,3914
import_totale,2
lavoro,9
quote,704
scorte,110
scorte_minime,7
terminale,1
terminale_scorte,4
