famiglia,vincoli_con_duale_non_nullo
accumulazione,980
banda_import,343
bilancio,355
capacita,138
import_totale,5
inv_max,7
inv_min,9
lavoro,5
o2,315
quote,355
scorte,55
scorte_minime,28
terminale,4
terminale_scorte,7
