riga,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
4,0,0,0,0,0,0,0,0,0,0,0,0,0.503407884,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1695692971,0.03829177759,0.0003108256514,0.003279210622,0.05485878481,8.900591021e-05,0.0006082938035,1.908508796e-06,0.003848074235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2257349378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0.5879767052,0.002774730593,0,0.001968122862,0,0,0,0,0,0,0,0,0,0,0.2752629541,0.007474128336,6.066970391e-05,0.0006400653763,0.01070782356,0.0001032540375,0.0007056698935,2.214024195e-06,0.004464076602,0,0,0,0,0,0,0.05671258953,0,0,0,0,0,0,0,0,0,0,0.05114699619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0.3206980148,0,0,0,0.002502485728,0.3374669035,0,0,0,0,0,0,0,0,0.2722682128,0,0,0,0,0.000121580884,0.0008309212074,2.606997513e-06,0.005256417986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06085285607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0.8075818662,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1304927923,0,0,0,0,0.0003616403474,0.002471561516,7.754471387e-06,0.01563512917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04344925603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0.6444103708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2117368274,0.01429009608,0.0001159969242,0.00122376755,0.02047273214,0.0003656034963,0.002498646897,7.839451188e-06,0.01580647163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08907164762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0.2860550459,0.1686238532,0,0,0,0,0.0005504587156,0,0,0,0,0,0,0,0,0.1526605505,0.1098851949,0.0008919705334,0.009410289128,0.1574272243,0.0001939385623,0.001325435866,4.158526677e-06,0.008384723925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104587156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0.01265184506,0,0,0,0,0,0,0.6404308962,0.002704561082,0,0,0,0,0.00082512033,0,0,0,0,0,0,0,0.08993811598,0,0.1539307816,0,0,0,0,0.0004046581007,0.002765558092,8.676879353e-06,0.0174949552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07884483154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0.774994458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1519249243,0.0004679750053,3.79869113e-06,4.007619142e-05,0.0006704452425,0.0004483679141,0.003064284419,9.614126814e-06,0.01938470169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04899135447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0.771922081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1512182203,0,0,0,0,0.0004394575773,0.003003388433,9.42306696e-06,0.01899947292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05440795669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0.001513873033,0.634610612,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003921179332,0.1326748399,0,0,0,0,0.0003667528385,0.002506501856,7.864095953e-06,0.01585616219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2085422147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0.6674677552,0.00542244336,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1370102894,0.01657770966,0.0001345661583,0.00141967297,0.0237500859,0.0003855401026,0.002634899805,8.266941772e-06,0.01666840923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1285203613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0.1253131452,0.6083413627,0,0,0,0,0,0,0,0,0,0,0,0,0.1924294563,0,0,0,0,0.0001891334775,0.001292596437,4.05549367e-06,0.008176981282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0642532691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9063022832,0,0,0,0,0,0,0,0,0,0,0,0.02970627083,0.02077309672,0.0001686213523,0.001778955267,0.02976061479,0.0002252932576,0.001539723511,4.830849578e-06,0.009740310253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8750116733,0,0,0,0,0,0,0,0,0,0,0,0.114491698,7.392822495e-05,6.000972042e-07,6.331025504e-06,0.0001059134059,0.0002017992341,0.001379158119,4.327079094e-06,0.008724571566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7913259487,0,0,0,0,0,0,0,0,0,0,0,0.1600649539,0.009507341011,7.717389081e-05,0.0008141845481,0.01362070939,0.0004813045227,0.003289383346,1.032036988e-05,0.02080868033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0.04127173035,0,0.04877374931,0.8622221278,0,0,0,0,0,0,0,0,0,0,0.03944404301,0,0,0,0,0.0001622314213,0.0011087395,3.478646462e-06,0.007013899989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8962148962,0,0,0,0,0,0,0,0,0,0,0.01953601954,0.03035096466,0.000246367731,0.002599179562,0.04348236472,0.0001481749202,0.001012673041,3.177240004e-06,0.006406182369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8638558596,0,0,0,0,0,0,0,0,0,0,0.04963912976,0,0,0,0,0.0006606121208,0.004514826697,1.416517218e-05,0.02856085034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05275455631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6924875422,0.001558699195,0,0,0,0,0,0,0,0,0.1195711216,0.01520907094,0.0001234565141,0.001302466224,0.02178930314,0.00168585824,0.01152167445,3.61490071e-05,0.07288625714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06182840139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0.6941252805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2187407067,0,0,0,0,0.0004026975439,0.002752159042,8.634840122e-06,0.01741019264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06656032875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0.7244993398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251540493,0,0,0,0,0.0004172922385,0.002851903681,8.947786791e-06,0.01804117848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00264084507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0.09542359676,0,0,0,0,0,0,0.5469665662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2935876156,0,0,0,0,0.000311626016,0.002129748172,6.682039329e-06,0.01347281366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04810135158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0.6417524185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2689937766,0,0,0,0,0.000382929552,0.002617058498,8.210965053e-06,0.0165555449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069690061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0.01911589008,0.730784548,0,0,0,0,0,0,0,0,0,0,0,0,0.2129297757,0,0,0,0,0.0007275401716,0.00497223361,1.560027658e-05,0.03145441222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0.0001558627784,0.1316105301,0,0,0.04159977556,0.0324973893,0,0.2640783055,0,0.03234152652,0,0,0,0,0,0.001309247339,0.1578110631,0.08443984706,0.0006854231409,0.007231214136,0.1209729005,0.0007654379479,0.005231238685,1.641289947e-05,0.03309288157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0861609439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
