,phi_R
111CA,0
113FF,0
211,0
212,0
213,0
22,0
23,0.7495758668
321,0.006661385793
327,0
331,0
332,0
333,0
334,0.0003991841674
335,0.009586657269
3361MV,0
3364OT,0
337,0.0008326732241
339,0
311FT,0
313TT,0.0008170800926
315AL,0
322,0
323,0
324,0
325,0
326,5.457596038e-05
42,0.004428449357
441,7.796565769e-06
445,1.091519208e-05
452,0.0002510494178
4A0,0.00845459592
481,7.796565769e-06
482,4.989802092e-05
483,0
484,0.000668945343
485,0
486,0
487OS,0
493,0
511,0
512,0
513,0
514,0
521CI,0
523,0
524,0.01125980028
525,0
HS,0
ORE,0.1770475341
532RL,0
5411,0.02703069352
5415,0
5412OP,0.002855102385
55,0
561,0
562,0
61,0
621,0
622,0
623,0
624,0
711AS,0
713,0
721,0
722,0
81,0
GFGD,0
GFGN,0
GFE,0
GSLG,0
GSLE,0
