anno,produzione_lorda,consumo_privato,consumo_pubblico_e_inv_pubblici,investimento_E,investimento_S,investimento_N,investimento_R,investimento_totale_FA,domanda_di_prodotti_per_investimento,ammortamento,investimento_netto,variazione_scorte,esportazioni,importazioni,residuo_materiale,gamma,prodotto_finale_lordo,prodotto_netto,surplus_economico
2012,29251.77254,11060.97782,3142.018,979.968,461.451,655.697,432.014,2529.13,2649.737,2094.259456,434.8705442,48.85264671,1789.203,2359.7,25.75439352,0.9996011727,16356.84286,14262.5834,3201.605584
2013,29909.93697,11220.09984,3066.668636,1040.300973,467.9013577,694.3590635,486.640999,2689.202393,2798.883493,2154.08025,535.1221425,92.41900897,1813.000954,2314.001983,16.97592328,1.013981326,16694.04587,14539.96562,3319.865782
2014,30754.68196,11479.73895,3043.148649,1120.873196,519.2513389,736.3419464,508.1175307,2884.584012,3011.469661,2224.171458,660.4125539,64.41688312,1861.772477,2400.943252,18.42548165,1.037445396,17078.02885,14853.85739,3374.118441
2015,31450.12257,11873.06541,3099.013496,1162.908353,515.2587226,771.8410725,562.3000943,3012.308243,3133.907347,2308.28134,704.0269029,112.5653588,1786.331162,2449.018461,36.19099598,1.072991041,17592.05531,15283.77397,3410.708559
2016,32091.26399,12170.09009,3153.230443,1429.662065,494.6712135,845.5307864,602.4324513,3372.296516,3440.819132,2392.533367,979.7631496,-220.3274176,1792.891133,2422.09463,117.1497331,1.099833714,18031.75848,15639.22511,3469.135027
