famiglia,vincoli_con_duale_non_nullo
accumulazione,1960
banda_import,680
bilancio,710
capacita,495
import_totale,10
lavoro,10
o2,630
quote,710
scorte,110
scorte_minime,61
terminale,4
terminale_scorte,5
