famiglia,vincoli_con_duale_non_nullo
accumulazione,980
banda_import,335
bilancio,352
capacita,99
import_totale,3
lavoro,5
quote,355
scorte,55
scorte_massime,46
scorte_minime,2
terminale,3
terminale_scorte,9
