caso,stato,valore_obiettivo,variabili,vincoli,obiettivo,capacita,capacita_tipo,deriva,theta_non_g17,u_non_g17,sigma_fattore,accumulazione,terminale,crescita_terminale,terminale_scorte,sigma_max_fattore,scorte,lavoro,lavoro_scala,estero,bande_import,epsilon,import_scala,beta,gamma_min,obiettivi_o2,elastico,penalita_elastico,gamma_2016,consumo_cumulato,investimento_netto_min,anni_disinvestimento_netto,residuo_materiale_totale
base,Optimal,0.3736782795,7935,4610,O4,True,lineare,True,0,1,1,True,True,0,True,1.2,True,True,1,True,True,0.1,1,1,1,osservato,False,1000,1.065912238,56479.84366,490.4452036,0,416.8511021
variante,Optimal,0.01287325145,7935,4610,O4,True,lineare,True,0,0.772,0.85,True,True,0,True,1.2,True,True,1,True,True,0.1,1,1,1,osservato,False,1000,1.095918331,57745.77183,434.8705442,0,408.0543325
