anno,prodotto,rho,peso,classe
2016,ORE,1.2,0.0004420631442,"=1,2"
2016,532RL,1.2,0.00758402689,"=1,2"
2016,5411,1.2,0.007076521351,"=1,2"
2016,5412OP,1.2,0.005432417049,"=1,2"
2016,561,1,0.004609954391,=1
2016,562,1.2,0.00194524835,"=1,2"
2016,61,1,0.02631539921,=1
2016,621,1.2,0.08038012792,"=1,2"
2016,622,1.2,0.07738077051,"=1,2"
2016,623,1,0.01819418153,=1
2016,624,1,0.01593498183,=1
2016,711AS,1.2,0.005904717096,"=1,2"
2016,713,1,0.01510645847,=1
2016,721,1.2,0.01162377587,"=1,2"
2016,722,1,0.05179746589,=1
2016,81,1.150777813,0.04559755244,"1-1,2"
2016,GFE,1.2,0.0006026731639,"=1,2"
2016,GSLE,1.2,0.005284395861,"=1,2"
2017,111CA,1.2,0.007206298139,"=1,2"
2017,113FF,1.2,0.0004882675708,"=1,2"
2017,212,1.2,1.513588047e-05,"=1,2"
2017,22,1.2,0.0200286874,"=1,2"
2017,321,1.2,0.0002194099571,"=1,2"
2017,327,1.2,0.0008074959984,"=1,2"
2017,331,1.2,6.641974985e-05,"=1,2"
2017,332,1.2,0.001303321344,"=1,2"
2017,333,1.2,0.0006703440076,"=1,2"
2017,334,1.2,0.006312814623,"=1,2"
2017,335,1.2,0.003241238452,"=1,2"
2017,3361MV,1.2,0.01467022657,"=1,2"
2017,3364OT,1.2,0.001671650213,"=1,2"
2017,337,1.2,0.003524182166,"=1,2"
2017,339,1.2,0.006641646593,"=1,2"
2017,311FT,1.2,0.047060704,"=1,2"
2017,313TT,1.2,0.001659572076,"=1,2"
2017,315AL,1.2,0.01092081193,"=1,2"
2017,322,1.2,0.001706628686,"=1,2"
2017,323,1.2,0.0002202812785,"=1,2"
2017,324,1.2,0.02386628082,"=1,2"
2017,325,1.2,0.02047611039,"=1,2"
2017,326,1.2,0.002736141898,"=1,2"
2017,42,1.2,0.04265271541,"=1,2"
2017,441,1.2,0.02284790743,"=1,2"
2017,445,1,0.01639348416,=1
2017,452,1,0.01754474967,=1
2017,4A0,1.2,0.06299447704,"=1,2"
2017,481,1.2,0.01074730888,"=1,2"
2017,482,1.2,0.0006070121762,"=1,2"
2017,483,1.2,0.001765547077,"=1,2"
2017,484,1.2,0.006658700306,"=1,2"
2017,485,1.2,0.003500700571,"=1,2"
2017,486,1.2,0.0002092916342,"=1,2"
2017,487OS,1.2,0.001316559463,"=1,2"
2017,493,1,1.944873135e-05,=1
2017,511,1.2,0.007890226986,"=1,2"
2017,512,1.2,0.001867352697,"=1,2"
2017,513,1.2,0.02943131745,"=1,2"
2017,514,1.2,0.003797012562,"=1,2"
2017,521CI,1.2,0.0169444358,"=1,2"
2017,523,1.2,0.0143933831,"=1,2"
2017,524,1.2,0.03025248564,"=1,2"
2017,525,1.2,0.01150643284,"=1,2"
2017,HS,1.077537764,0.1399930364,"1-1,2"
2017,ORE,1.2,0.0004250368038,"=1,2"
2017,532RL,1.2,0.007616037896,"=1,2"
2017,5411,1.2,0.00714717897,"=1,2"
2017,5412OP,1.2,0.005456121153,"=1,2"
2017,561,1,0.004758871511,=1
2017,562,1.2,0.002060592772,"=1,2"
2017,61,1,0.0259703069,=1
2017,621,1.2,0.0812402907,"=1,2"
2017,622,1.2,0.07702025581,"=1,2"
2017,623,1,0.01766257529,=1
2017,624,1,0.01622024764,=1
2017,711AS,1.2,0.006195133137,"=1,2"
2017,713,1,0.01544637644,=1
2017,721,1.2,0.01174529084,"=1,2"
2017,722,1,0.05182628703,=1
2017,81,1.140298026,0.04461780274,"1-1,2"
2017,GFE,1.2,0.0005294623729,"=1,2"
2017,GSLE,1.2,0.005214876284,"=1,2"
2018,111CA,1.2,0.007100779651,"=1,2"
2018,113FF,1.2,0.0004417714304,"=1,2"
2018,212,1.2,1.42848769e-05,"=1,2"
2018,22,1.2,0.02041194358,"=1,2"
2018,321,1.2,0.0002262537323,"=1,2"
2018,327,1.2,0.0007350487997,"=1,2"
2018,331,1.2,5.050950824e-05,"=1,2"
2018,332,1.2,0.00123970267,"=1,2"
2018,333,1.2,0.0006650056223,"=1,2"
2018,334,1.2,0.006498870967,"=1,2"
2018,335,1.2,0.003036713186,"=1,2"
2018,3361MV,1.2,0.01445123582,"=1,2"
2018,3364OT,1.2,0.001659007236,"=1,2"
2018,337,1.2,0.003514296089,"=1,2"
2018,339,1.2,0.006664060634,"=1,2"
2018,311FT,1.2,0.0472069625,"=1,2"
2018,313TT,1.2,0.00162884885,"=1,2"
2018,315AL,1.2,0.01073486788,"=1,2"
2018,322,1.2,0.001496644918,"=1,2"
2018,323,1.2,0.0002032988741,"=1,2"
2018,324,1.2,0.02294025077,"=1,2"
2018,325,1.2,0.02100043154,"=1,2"
2018,326,1.2,0.002699648816,"=1,2"
2018,42,1.2,0.04143457661,"=1,2"
2018,441,1.2,0.02315962233,"=1,2"
2018,445,1,0.01578142163,=1
2018,452,1,0.01788627751,=1
2018,4A0,1.2,0.06462366863,"=1,2"
2018,481,1.2,0.01117859977,"=1,2"
2018,482,1.2,0.0005960060776,"=1,2"
2018,483,1.2,0.001806939708,"=1,2"
2018,484,1.2,0.006659440356,"=1,2"
2018,485,1.2,0.003831844832,"=1,2"
2018,486,1.2,0.0002055677512,"=1,2"
2018,487OS,1.2,0.001307916194,"=1,2"
2018,493,1,1.953455044e-05,=1
2018,511,1.2,0.008327288651,"=1,2"
2018,512,1.2,0.001876232169,"=1,2"
2018,513,1.2,0.02906784003,"=1,2"
2018,514,1.2,0.004795659928,"=1,2"
2018,521CI,1.2,0.01638419869,"=1,2"
2018,523,1.2,0.01384351624,"=1,2"
2018,524,1.2,0.03142907696,"=1,2"
2018,525,1.2,0.01042047685,"=1,2"
2018,HS,1.04518494,0.1381525015,"1-1,2"
2018,ORE,1.2,0.0004243228552,"=1,2"
2018,532RL,1.2,0.007446241538,"=1,2"
2018,5411,1.2,0.006887226111,"=1,2"
2018,5412OP,1.2,0.005484486879,"=1,2"
2018,561,1,0.005132608345,=1
2018,562,1.2,0.001988742683,"=1,2"
2018,61,1,0.02567492026,=1
2018,621,1.2,0.08219147804,"=1,2"
2018,622,1.2,0.07747943336,"=1,2"
2018,623,1,0.01722498084,=1
2018,624,1,0.01643527158,=1
2018,711AS,1.2,0.006303715705,"=1,2"
2018,713,1,0.01537773521,=1
2018,721,1.2,0.01159058841,"=1,2"
2018,722,1,0.05203643343,=1
2018,81,1.2,0.04521672753,"=1,2"
2018,GFE,1.2,0.0005010027285,"=1,2"
2018,GSLE,1.2,0.005195439585,"=1,2"
2019,111CA,1.2,0.007224647834,"=1,2"
2019,113FF,1.2,0.0004579865262,"=1,2"
2019,212,1.2,1.305284564e-05,"=1,2"
2019,22,1.2,0.01967570404,"=1,2"
2019,321,1.2,0.0002292541144,"=1,2"
2019,327,1.2,0.0007273972125,"=1,2"
2019,331,1.2,4.904754047e-05,"=1,2"
2019,332,1.2,0.001243519479,"=1,2"
2019,333,1.2,0.0006723953314,"=1,2"
2019,334,1.2,0.006714557437,"=1,2"
2019,335,1.2,0.003086852212,"=1,2"
2019,3361MV,1.2,0.01450593029,"=1,2"
2019,3364OT,1.2,0.001588573004,"=1,2"
2019,337,1.2,0.003477720094,"=1,2"
2019,339,1.2,0.00679159476,"=1,2"
2019,311FT,1.2,0.0470541228,"=1,2"
2019,313TT,1.2,0.00166866823,"=1,2"
2019,315AL,1.2,0.01087796338,"=1,2"
2019,322,1.2,0.001604540747,"=1,2"
2019,323,1.2,0.0002040743282,"=1,2"
2019,324,1.2,0.02298669283,"=1,2"
2019,325,1.2,0.02205584324,"=1,2"
2019,326,1.2,0.002728276772,"=1,2"
2019,42,1.2,0.04096075153,"=1,2"
2019,441,1.2,0.02253950474,"=1,2"
2019,445,1,0.01584622085,=1
2019,452,1.06385909,0.01718376916,"1-1,2"
2019,4A0,1.2,0.06459215807,"=1,2"
2019,481,1.2,0.0117504287,"=1,2"
2019,482,1.2,0.0005869615216,"=1,2"
2019,483,1.2,0.001827285083,"=1,2"
2019,484,1.2,0.006608016561,"=1,2"
2019,485,1.2,0.004148876761,"=1,2"
2019,486,1.2,0.000215121059,"=1,2"
2019,487OS,1.2,0.001273818304,"=1,2"
2019,493,1.2,1.935841477e-05,"=1,2"
2019,511,1.2,0.008654295268,"=1,2"
2019,512,1.2,0.001813292077,"=1,2"
2019,513,1.2,0.02881089568,"=1,2"
2019,514,1.2,0.005549016067,"=1,2"
2019,521CI,1.2,0.01638221681,"=1,2"
2019,523,1.2,0.01366339887,"=1,2"
2019,524,1.2,0.02986890132,"=1,2"
2019,525,1.2,0.009993567626,"=1,2"
2019,HS,1.006421991,0.1377084018,"1-1,2"
2019,ORE,1.2,0.0004290934816,"=1,2"
2019,532RL,1.2,0.007521445991,"=1,2"
2019,5411,1.2,0.006754344968,"=1,2"
