famiglia,vincoli_con_duale_non_nullo
accumulazione,980
banda_import,337
bilancio,355
capacita,211
import_totale,5
lavoro,5
o2,315
quote,355
scorte,55
scorte_minime,28
terminale,4
terminale_scorte,6
