,phi_R
111CA,0
113FF,0
211,0
212,0
213,0
22,0
23,0.7549812547
321,0.007631846806
327,0
331,0
332,0
333,0
334,0.0002336997915
335,0.008976324522
3361MV,0
3364OT,0
337,0.0007968318192
339,0
311FT,0
313TT,0.0008010553094
315AL,0
322,0
323,0
324,0
325,0
326,5.208971256e-05
42,0.004769728275
441,8.446980416e-06
445,9.854810485e-06
452,0.0002491859223
4A0,0.008210464964
481,8.446980416e-06
482,4.505056222e-05
483,0
484,0.0005476458969
485,0
486,0
487OS,0
493,0
511,0
512,0
513,0
514,0
521CI,0
523,0
524,0.009715435308
525,0
HS,0
ORE,0.1706304122
532RL,0
5411,0.02903790301
5415,0
5412OP,0.003294322362
55,0
561,0
562,0
61,0
621,0
622,0
623,0
624,0
711AS,0
713,0
721,0
722,0
81,0
GFGD,0
GFGN,0
GFE,0
GSLG,0
GSLE,0
