riga,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
4,0,0,0,0,0,0,0,0,0,0,0,0,0.4778267936,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1443632986,0.03990314402,0.0002605077536,0.002755437715,0.04934086787,0.0001052190751,0.0005693630323,1.311141122e-06,0.003640547218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2812335099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0.589133671,0.002339301045,0,0.001520151858,0,0,0,0,0,0,0,0,0,0,0.2820708722,0.007164119218,4.677096629e-05,0.0004947049857,0.008858546574,0.0001271031692,0.0006877825696,1.583840114e-06,0.004397730057,0,0,0,0,0,0,0.05775789416,0,0,0,0,0,0,0,0,0,0,0.04539976843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0.3131267889,0,0,0,0.002742030632,0.313978894,0,0,0,0,0,0,0,0,0.2860997618,0,0,0,0,0.000146996293,0.0007954285387,1.831729508e-06,0.005086025944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07802224213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0.7938841862,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137781553,0,0,0,0,0.0004505280609,0.00243790418,5.614056834e-06,0.01558813056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049852084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0.6382066277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2213125406,0.01955980343,0.0001276962148,0.001350666004,0.02418600589,0.0004498300296,0.002434126983,5.605358624e-06,0.01556397889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07680311891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0.2552813425,0.1330700888,0,0,0,0,0.0005923000987,0,0,0,0,0,0,0,0,0.1166831194,0.1539607943,0.001005133346,0.01063147754,0.1903749541,0.0002117590359,0.001145873662,2.638741881e-06,0.007326796675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1297137216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0.01023319886,0,0,0,0,0,0,0.594361901,0.0024107055,0,0,0,0,0.0006887730001,0,0,0,0,0,0,0,0.146708649,0,0.1653547181,0,0,0,0,0.0004545231555,0.002459522495,5.663839944e-06,0.01572635958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06159598544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0.7816044715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1565017261,0.0008532126694,5.570200576e-06,5.891702086e-05,0.001055010943,0.0005610207747,0.003035804005,6.99091308e-06,0.01941114403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03690613184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0.7861979905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1573277899,0,0,0,0,0.0005535717745,0.002995495864,6.898090648e-06,0.01915341094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03376484299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0.001471356021,0.652451469,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004034363283,0.1373107409,0,0,0,0,0.0004662618122,0.00252304289,5.81011604e-06,0.01613251345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1856044425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
