,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
334,5128.866367,241.1223699,53.67142019,93.65519166,100.4101399,10170.79332,764.9388565,73.05921749,187.1770179,221.0200274,313.6845797,594.5197192,4593.694564,168.2492989,1420.048431,659.9379168,72.83064871,1248.891638,1681.654476,47.02357496,77.73917663,208.1474902,196.8634276,495.9875373,4972.472465,401.6628004,4423.750205,462.8118421,532.6055307,1855.384386,5331.856496,1245.923963,192.8923503,133.4760557,505.5745416,55.48862331,602.8169711,607.74968,115.1187201,3120.037128,539.9397399,48045.54569,13047.45728,4744.015674,2422.212854,3131.400464,44.81190104,0,2738.276571,3421.44337,569.2834259,2118.213198,9973.676236,3039.399441,2699.591036,129.0925525,2811.932589,9634.431946,16774.4102,551.7870873,212.1966826,804.6545553,836.1444168,227.6732209,705.8038575,2102.997999,0,0,0,0,0
335,36.58273556,9.727421174,2.994520468,15.85299847,93.34378702,21666.72873,324.0137428,12.63629436,34.62782687,25.9187923,15.8360052,43.10094486,197.0329602,216.1023329,60.74292871,16.59930098,4.353147953,17.46311688,66.7606961,1.505339486,1.278578943,32.59263028,71.24809491,51.54923932,232.8591118,35.55964794,186.6288497,79.48368492,59.89318401,86.74189876,144.9001851,20.99767217,9.64188977,5.452688164,63.51746214,3.672081483,65.46297481,9.516340772,3.547194722,22.2896711,4.400869525,782.5565958,948.9748124,271.6532803,34.52090909,58.90197024,0.1580289468,0,425.4294435,338.1413468,11.09569063,47.89115746,85.30749733,34.87075457,48.05330359,5.525187501,50.7362748,60.04039342,93.10443507,34.02174181,5.551579906,44.61568552,28.65735786,58.31101348,143.4361474,310.2878647,0,0,0,0,0
3361MV,8253.901833,907.1522488,235.7543261,568.2270779,915.6773782,3553.308955,22241.71496,505.8816875,1158.907346,339.0770118,1182.453377,742.3230643,474.1782373,105.7548045,1165.964692,433.3070919,244.1762247,356.5753871,2194.033878,89.00291013,21.16311979,292.1386508,153.8756973,1590.756896,1895.777847,575.32914,19055.46491,3663.315867,678.0387505,557.7164437,5929.099357,2130.599788,398.942827,205.8691944,20461.92288,4388.461004,885.3353048,3318.745794,464.6337713,311.3728476,113.7511583,10243.13703,707.561773,67613.15147,330.6992877,2042.611062,2.345222665,0,3932.313707,48478.34642,1126.648238,1205.074364,3867.319037,821.0443471,9734.626434,2739.105897,672.0476931,1831.75606,1268.142535,982.7506401,863.4142341,645.9862754,881.5252187,288.0248074,1416.832651,7385.851628,0,0,0,0,0
3364OT,103.5208764,249.1793437,186.3018171,63.04018424,382.0447596,516.3964034,317.5742153,14.59819686,38.92215196,86.13673785,62.56002352,140.1696834,169.4934672,43.65301187,118.2331015,2170.49129,12.8902681,50.79633666,180.8524757,6.452478865,2.574768217,36.54325972,12.11459588,95.87086169,743.081712,62.66330776,661.4899844,104.7126407,45.74222899,467.0941455,321.8251055,14549.39759,6701.271778,4024.115563,142.1771467,40.11086549,158.9187014,1739.37121,18.00755203,128.3748065,9.870470267,512.2424235,356.9936747,2569.52473,370.892324,2364.091163,0.3135836942,0,161.9103795,11664.51493,8.33109631,25.02111178,432.6490072,593.8856514,431.7357507,25.98667867,122.4594758,725.2470123,172.0042747,16.99355721,29.58146562,240.8436089,275.9054924,85.40726322,136.0219185,223.8081138,0,0,0,0,0
337,39.04446159,31.45881019,14.21898011,21.25329167,18.18426564,217.6288581,231.794363,33.7040027,20.93624432,21.7466689,55.74814605,102.3627044,135.298021,29.30989924,61.65221605,33.12170068,129.5379671,87.39512111,147.7497691,15.54598781,13.05173012,98.04657809,26.88919578,68.56046354,305.5074835,41.06153912,1011.30691,329.7441198,756.4752734,1068.16113,4870.708554,30.52788616,10.69713641,13.47161483,70.29529325,5.971887,69.06685108,47.30572211,35.17929286,225.4978056,293.4312942,368.6101739,678.8049472,1431.510846,618.3221248,902.3604787,8.474307562,0,5597.663599,659.3850813,274.3018574,179.0506631,569.1927377,913.0818306,699.8887261,15.16204967,424.9922281,360.6036811,496.1924458,395.0026738,169.6811584,311.0874032,777.1747241,1502.058173,903.5496006,1040.199256,0,0,0,0,0
339,272.9273293,48.25404327,17.81994054,26.00465679,43.9549864,437.0169927,374.182229,48.9013358,58.4894502,58.65247754,102.8994678,150.7235151,526.651793,74.72676698,211.7366249,88.7715851,56.34303952,1053.66876,508.3928319,27.38204545,6.026720948,72.75949286,48.02847282,120.0546203,854.6225112,162.1239552,1271.941601,116.8743398,220.8071897,462.2405764,1204.41838,462.9342208,27.42735895,24.07744905,195.1266378,58.38018762,46.88814835,156.3779803,104.5686929,34.77002257,36.03518683,366.0699453,121.3286518,2717.615997,95.14469597,165.0773046,0.2412881266,0,1042.322269,1166.786076,18.08621868,75.85335944,1494.877589,364.6945578,725.0660813,112.6514183,877.6310461,7725.389756,14862.28137,369.7535838,102.8992292,500.9313159,526.7205567,400.3444342,418.2477562,652.0019137,0,0,0,0,0
311FT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313TT,37.50176853,6.101903816,2.316735069,3.296113994,6.130322102,56.27742783,52.26296187,7.036389279,7.956641118,7.788079742,8.917150973,21.70088149,22.81109819,11.30860697,29.98616934,12.84229139,8.558084606,19.92347232,66.82613068,4.079649135,0.7791208063,9.830831408,7.090450819,16.14858986,46.32569255,23.63132214,166.4757761,17.30539068,32.99382528,70.78829859,157.0541256,69.74064731,2.780414534,2.904090729,27.82999005,8.570372196,5.44657147,23.52158328,16.11584596,4.023123616,5.175558636,38.99163848,13.12671214,414.5361374,13.28665126,20.97945245,0.01167506739,0,130.5563001,87.33285706,2.235772027,9.281292686,45.29259434,18.16971438,53.56054631,16.91402475,60.27165044,21.82486021,22.69246586,8.714556183,13.22459515,74.97036899,81.04762633,61.38545084,53.90746695,70.53208995,0,0,0,0,0
315AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
