famiglia,vincoli_con_duale_non_nullo
accumulazione,979
banda_import,351
bilancio,354
capacita,156
import_totale,4
lavoro,5
quote,355
scorte,55
scorte_massime,12
scorte_minime,4
terminale,3
terminale_scorte,7
