famiglia,vincoli_con_duale_non_nullo
accumulazione,129
bilancio,454
capacita,14
distanza,3791
import_totale,9
lavoro,9
quote,693
scorte,110
scorte_minime,7
tempi_costruzione,161
terminale_scorte,4
var_inv,27
