riga,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
4,0,0,0,0,0,0,0,0,0,0,0,0,0.5460679646,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2040872406,0.02488081509,0.00031437853,0.003403045516,0.04834284395,7.592042254e-05,0.0006497484015,2.561732049e-06,0.005032173283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1671433079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0.6103578658,0.002091051446,0,0.003045869457,0,0,0,0,0,0,0,0,0,0,0.2368139633,0.005937535172,7.502300759e-05,0.0008120996991,0.01153649249,8.368506034e-05,0.000716200363,2.82372903e-06,0.005546830625,0,0,0,0,0,0,0.06836496964,0,0,0,0,0,0,0,0,0,0,0.05461559027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0.3233207071,0,0,0,0.003838383838,0.3653535354,0,0,0,0,0,0,0,0,0.2445580808,0,0,0,0,0.0001016767636,0.0008701784369,3.430811041e-06,0.006739360453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05521464646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0.8233580341,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08635759073,0,0,0,0,0.0002337271115,0.00200030258,7.886497629e-06,0.01549194916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07255050985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0.6357831476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1908100664,0.01882675958,0.0002378832437,0.002575008879,0.03657995516,0.0002244196648,0.001920646824,7.572442676e-06,0.01487503103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0981595092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0.2788291698,0.2187736563,0,0,0,0,0.0002523340903,0,0,0,0,0,0,0,0,0.1852132223,0.0740098498,0.0009351425065,0.01012261402,0.1437994136,0.0001297018647,0.001110025161,4.376443289e-06,0.008596926054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078223568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0.01930065809,0,0,0,0,0,0,0.6341714959,0.002406443375,0,0,0,0,0.0002946665357,0,0,0,0,0,0,0,0.1510657106,0,0.1252823888,0,0,0,0,0.0002602024044,0.002226885608,8.779835731e-06,0.01724679004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04773597878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0.78366029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1452418667,0.001300276802,1.642949028e-05,0.0001778438981,0.002526407528,0.0002826401922,0.002418914528,9.536939001e-06,0.01873401618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04563177775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0.7744372447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1433835949,0,0,0,0,0.0002740122285,0.00234507398,9.245811393e-06,0.01816213569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06138869269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0.001559497619,0.6921106129,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003202539753,0.1338104653,0,0,0,0,0.0002477457124,0.002120277723,8.359517905e-06,0.01642113299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1505193684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0.6925989046,0.002875095945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1336204093,0.01427835628,0.000180412444,0.001952906131,0.02774251355,0.0002481042964,0.002123346586,8.371617362e-06,0.01644490072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1079266785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0.1149380457,0.6567459722,0,0,0,0,0,0,0,0,0,0,0,0,0.1673517146,0,0,0,0,0.0001356286571,0.001160748323,4.576427081e-06,0.008989766943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05067354715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9069803135,0,0,0,0,0,0,0,0,0,0,0,0.03244587239,0.01491603622,0.0001884697717,0.002040124087,0.0289815108,0.0001904160692,0.001629634458,6.425082091e-06,0.01262119762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8874544428,0,0,0,0,0,0,0,0,0,0,0,0.09925055182,6.639800842e-05,8.389640053e-07,9.081512966e-06,0.0001290097832,0.0001725180813,0.001476458426,5.821162253e-06,0.01143487945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7890860433,0,0,0,0,0,0,0,0,0,0,0,0.1709620834,0.004854332436,6.133633042e-05,0.0006639458624,0.009431854809,0.0003287071628,0.002813168664,1.109134599e-05,0.02178743673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0.008231963087,0,0.04454173658,0.8971791107,0,0,0,0,0,0,0,0,0,0,0.04029467282,0,0,0,0,0.0001285352929,0.00110004131,4.337080435e-06,0.008519603095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8993690852,0,0,0,0,0,0,0,0,0,0,0.02397476341,0.02188136156,0.0002764792977,0.002992798632,0.04251497565,0.0001184926148,0.001014093237,3.998217063e-06,0.007853952209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8828438706,0,0,0,0,0,0,0,0,0,0,0.05401149516,0,0,0,0,0.0003963977058,0.003392483433,1.337538271e-05,0.02627411542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03306826234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6532823111,0.003314649132,0,0,0,0,0,0,0,0,0.1072006036,0.01185161865,0.0001497496941,0.001620991818,0.02302741887,0.001255531333,0.01074519147,4.23645542e-05,0.08321938973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10429018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0.6896533978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2140853768,0,0,0,0,0.0002516362868,0.002153574357,8.490794954e-06,0.01667900885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07716851504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0.755056385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2155184221,0,0,0,0,0.0002749908746,0.00235344951,9.278833192e-06,0.01822700251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008560471168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0.1018740731,0,0,0,0,0,0,0.6252932452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2359983821,0,0,0,0,0.0002228306581,0.001907047656,7.518825886e-06,0.01476970816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01992719428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0.6414387165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2684442399,0,0,0,0,0.0002335567111,0.001998844246,7.880747922e-06,0.01548065464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07239610731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
