famiglia,vincoli_con_duale_non_nullo
accumulazione,1894
banda_import,691
bilancio,710
capacita,409
import_totale,10
lavoro,10
o2,630
quote,710
regola_inv_max,1
regola_inv_min,38
scorte,110
scorte_minime,73
terminale,2
terminale_scorte,4
