famiglia,vincoli_con_duale_non_nullo
accumulazione,1959
banda_import,692
bilancio,710
capacita,398
import_totale,10
lavoro,10
o2,630
quote,710
scorte,110
scorte_minime,83
terminale,3
terminale_scorte,5
var_inv,37
