industria_io,r_a0,anno_massimo,u_inviluppo,u_inviluppo_tendenza,theta_inviluppo_tendenza,anno_scarto_massimo
111CA,0.8703724205,2004,0.8964817188,0.9467751587,-0.006799743786,2004
113FF,0.8885090774,2004,0.5465389305,0.7460824026,-0.03815677949,2004
23,3.887571196,1997,0.5052362876,0.7086958099,-0.02840406576,2019
42,3.176984732,2014,0.947430935,0.9691415837,0.0113927446,2014
441,1.167616596,2018,0.5875784736,0.6510700545,0.01848869936,2017
445,0.9359051918,1997,0.6449389058,0.8362767166,-0.01717113089,1997
452,1.033240852,1999,0.7547497073,0.8932961041,-0.01775220434,2004
481,0.8608964765,1997,0.6913944529,0.6861635524,0.0005064275679,1997
482,0.2111437191,2014,0.9701943144,0.977600598,0.004468111723,2011
483,1.123314143,2007,0.9814413474,0.9471455055,0.007139268646,2007
484,2.620326992,1997,0.7864405248,0.9155771815,-0.01506315857,2005
485,1.185155334,2019,0.6759519347,0.7777688756,0.02631918013,1998
486,0.2018670854,1998,0.550826233,0.8791396366,-0.03515594357,2019
487OS,1.451309437,2015,0.876977906,0.8628184448,0.02105247386,2006
493,2.579304025,2013,0.9780141199,1,0.03957603106,2012
4A0,1.307671613,2000,0.8002791927,0.8899208507,-0.009518484697,2018
511,1.095601006,1999,0.5346513657,0.6782591215,-0.02721136876,2019
512,0.5074702119,2000,0.8036956524,0.8460549424,-0.007442570785,2019
513,0.5894882548,2000,0.917583147,0.9534077835,-0.003213270411,2006
514,2.010624005,1997,0.5961839782,0.8686197405,-0.02477826104,1997
521CI,1.009138858,1999,0.9120255139,0.9917070163,-0.008789291452,2014
523,3.062861515,2000,0.5285844636,0.7520377062,-0.03799542881,2007
524,3.31089635,2015,0.9269584882,0.9679104442,0.02374554701,2008
525,2.871130306,2000,0.5791581486,0.6784746526,-0.01310269733,2000
532RL,0.796640669,1997,0.5513621792,0.8508514162,-0.03035794732,1999
5411,7.150637741,1998,0.5848825964,0.8780996111,-0.03197119161,2019
5412OP,2.50737093,1997,0.6469880121,0.8482778857,-0.01885681959,2019
5415,3.741117105,1999,0.6396496434,0.6493851249,-0.001161275907,1999
55,1.290707943,2007,0.7999306634,0.8051813018,-0.001307628001,2007
561,4.091542781,1998,0.554605049,0.790545338,-0.02500121595,1998
562,0.8516941329,2018,0.8215092367,0.8606366308,0.01511668213,2006
61,0.6175500056,1997,0.7921888183,0.9632095976,-0.01438968699,2010
621,2.675410293,2005,0.959779912,0.9280541796,0.004813531649,2005
622,0.8752965258,1998,0.791561494,0.998931839,-0.0194931618,2006
623,2.553553295,1997,0.5527684176,0.9013538782,-0.03326457873,1998
624,3.033093349,1997,0.7563031571,0.8768511759,-0.01357161455,2018
711AS,0.9628998407,2019,0.8598856092,0.8989336266,0.006364429395,2019
713,0.7858716035,1997,0.583893692,0.7997957196,-0.02075736498,1997
721,0.6363757626,2000,0.7541715542,0.8367444209,-0.008620859175,2000
722,2.718616517,2017,0.9324972631,0.9712993688,0.01069706711,2006
81,0.9973382825,1998,0.6507982894,0.8605867955,-0.02193782326,2019
HS,0.1057942621,2001,0.9857757339,0.9916329632,-0.0008915808388,2013
ORE,0.7788215018,2019,0.8316882156,0.7544948415,0.02570354553,2005
