famiglia,vincoli_con_duale_non_nullo
accumulazione,980
banda_import,348
bilancio,355
import_totale,2
lavoro,5
quote,355
scorte,55
scorte_massime,11
scorte_minime,17
terminale,4
terminale_scorte,5
