caso,consumo_privato,investimento_E,investimento_N,investimento_R,investimento_S,produzione_lorda,stock_E,stock_N,stock_R,stock_S,media_investimento,media_stock
O2 H29_valore,7.401366553,6.386722672,11.15057931,16.52557842,5.748305892,2.718727601,2.030947939,1.588983677,0.9558562646,0.5513203346,9.952796575,1.281777054
O2 H29b_capacita,10.10117997,30.160611,27.1352649,16.33810444,28.53176786,1.317190928,9.457160897,12.78362704,0.9057034381,2.442708297,25.54143705,6.397299919
O2 H29c_capacita_produzione,10.08270658,30.160611,27.1352649,16.44079492,28.53176786,1.292946622,9.443161286,12.85249953,0.9306121352,2.442710343,25.56710967,6.417245822
