famiglia,vincoli_con_duale_non_nullo
accumulazione,979
banda_import,349
bilancio,354
capacita,149
import_totale,4
lavoro,5
quote,355
scorte,55
scorte_massime,12
scorte_minime,15
terminale,3
terminale_scorte,7
