caso,stato,valore_obiettivo,variabili,vincoli,obiettivo,capacita,capacita_tipo,deriva,theta_non_g17,u_non_g17,sigma_fattore,accumulazione,terminale,crescita_terminale,terminale_scorte,sigma_max_fattore,scorte,lavoro,lavoro_scala,estero,bande_import,epsilon,import_scala,beta,gamma_min,obiettivi_o2,elastico,penalita_elastico,gamma_2016,consumo_cumulato,investimento_netto_min,anni_disinvestimento_netto,residuo_materiale_totale
O1,Optimal,5.620737744,3495,2565,O1,True,lineare,True,0,0.772,0.85,True,True,0,True,1.2,True,True,1,True,True,0.1,1,1,1,osservato,False,1000,1.19088087,62195.66085,-423.9610555,3,0
O2,Optimal,4.809291952,4790,2880,O2,True,lineare,True,0,0.772,0.85,True,True,0,True,1.2,True,True,1,True,True,0.1,1,1,1,osservato,False,1000,1.235951257,64728.09914,-408.9208652,4,0
O3,Optimal,106577.7874,3495,2565,O3,True,lineare,True,0,0.772,0.85,True,True,0,True,1.2,True,True,1,True,True,0.1,1,1,1,osservato,False,1000,1,55326.955,-73.54109515,1,319.0199369
O1_base,Optimal,5.453738278,3495,2565,O1,True,lineare,True,0,1,1,True,True,0,True,1.2,True,True,1,True,True,0.1,1,1,1,osservato,False,1000,1.170194905,60347.74646,-202.2280117,2,0
