caso,consumo_privato,investimento_E,investimento_N,investimento_R,investimento_S,produzione_lorda,stock_E,stock_N,stock_R,stock_S,media_investimento,media_stock
O2 limite_15%,8.038630545,21.8604913,24.88381489,16.68893945,46.70354957,2.972213949,5.508006204,9.281156353,0.8854135563,3.807170584,27.5341988,4.870436674
O2 penalita,7.401366553,6.386722672,11.15057931,16.52557842,5.748305892,2.718727601,2.030947939,1.588983677,0.9558562646,0.5513203346,9.952796575,1.281777054
O2 penalita_tempi_costruzione,7.324881412,6.386722672,11.15057931,16.52557842,5.600499297,2.700489988,2.10838718,1.634284115,0.9558562646,0.5726767023,9.915844926,1.317801066
O2 taratura,8.998147648,40.82186171,55.78359645,89.40890258,85.92647021,2.516245337,7.214723977,14.78527583,3.276009938,7.399201757,67.98520774,8.168802876
