,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N
111CA,86344.97678,0,0,0,0,-4242.933439,48843.15612,-47415.42183,0,0,0,0,0,0,0,0,0,0,0,0
113FF,6002.442649,0,0,0,0,441.591467,5690.786411,-15261.74006,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,7066.941712,33779.34116,-217838.0546,0,0,0,0,0,0,0,0,0,0,0,0
212,416.7791166,0,244.8871646,0,0,297.8675608,13804.33656,-5159.113246,0,0,0,0,0,0,0,0,0,0,0,0
213,0,68452.47906,1532.774659,0,0,-3.927673694,3448.497504,-682.4333044,0,0,0,0,0,0,0,0,0,0,0,0
22,253341.1666,0,0,0,0,0,3653.535538,-2327.024109,0,0,0,0,0,0,0,0,0,0,0,0
23,0,426592.9926,0,0,489699.1511,0,88.57581429,0,0,6727.196122,0,0,0,12214.33084,0,0,0,263873.7428,0,0
321,4920.949462,532.4070482,0,0,4867.080284,736.2121071,4674.94688,-17710.39027,0,0,0,0,0,0,101.4536196,0,0,0,0,0
327,10705.40429,0,0,0,0,873.2558855,7240.004153,-21437.54091,0,0,0,0,0,0,0,0,0,0,0,0
331,849.9577429,0,0,0,0,-324.8401719,33176.43966,-74836.5811,0,0,0,0,0,0,0,0,0,0,0,0
332,18605.9576,0,12053.2091,0,0,1563.059125,29855.81779,-62203.009,0,0,278.6926485,0,0,0,1667.196947,0,0,0,322.3313551,0
333,7273.028796,0,199414.4879,0,0,-555.2946551,86004.11225,-135927.3838,0,0,247.2202232,0,0,0,590.4759946,0,0,0,9739.525946,0
334,76793.45752,0,197851.1571,0,177.8196648,-1163.326241,100104.9728,-330869.9072,0,0,19367.34662,0,0,0,7881.910201,0,0,0,13775.66801,0
335,41861.02151,0,28465.29112,0,6487.746065,589.1475803,28896.72216,-91672.99153,0,0,187.2247923,0,0,0,750.9342215,0,0,0,947.3167482,0
3361MV,182708.9109,0,273448.2436,0,0,10402.75358,97863.69567,-311612.0481,0,0,10632.69693,0,0,0,1277.786463,0,0,0,15091.85151,0
3364OT,19349.32713,0,54002.89914,0,0,-9575.781655,122659.4288,-47162.37268,0,0,30911.34545,0,0,0,1691.979379,0,0,0,364.0000809,0
337,42220.37589,0,28684.72613,0,538.7607429,793.8630028,3471.484858,-37847.46625,0,0,0,0,0,0,149.4442343,0,0,0,2332.091555,0
339,84275.51923,0,43518.36156,0,0,1095.345575,29241.9364,-89922.33182,0,0,12.63486467,0,0,0,118.5733453,0,0,0,1134.222082,0
311FT,580177.7739,0,0,0,0,6958.513884,61581.62922,-89700.03734,0,0,0,0,0,0,0,0,0,0,0,0
313TT,21392.92294,0,2411.792209,0,562.1916292,820.0686331,8296.525677,-30694.2797,0,0,0,0,0,0,63.23420785,0,0,0,11.85641397,0
315AL,137129.7431,0,0,0,0,-545.3557183,3783.10683,-135897.6785,0,0,0,0,0,0,0,0,0,0,0,0
322,21128.45371,0,0,0,0,389.5004832,19500.34169,-21700.04567,0,0,0,0,0,0,0,0,0,0,0,0
