caso,consumo_privato,investimento_E,investimento_N,investimento_R,investimento_S,produzione_lorda,stock_E,stock_N,stock_R,stock_S,media_investimento,media_stock
O2 lavoro_aggregata,8.998147648,40.82186171,55.78359645,89.40890258,85.92647021,2.516245337,7.214723977,14.78527583,3.276009938,7.399201757,67.98520774,8.168802876
O2 mantenimento,10.86291376,38.97365463,31.1166954,100.233625,26.646508,0.9001427048,15.2856928,18.82482676,3.03123436,1.984099624,49.24262077,9.781463385
O2 produzione_aggregata,8.324991365,47.18314099,63.87958182,89.03717473,86.06136357,2.79398955,7.776475129,15.37274492,3.271265038,7.413689356,71.54031528,8.458543611
O2 produzione_per_tipo,7.472648909,50.17811963,45.22355247,79.68907604,57.29454105,2.005668146,13.97259764,18.81103953,2.60104571,4.68685952,58.0963223,10.0178856
