caso,consumo_privato,investimento_E,investimento_N,investimento_R,investimento_S,produzione_lorda,stock_E,stock_N,stock_R,stock_S,media_investimento,media_stock
O2 2010-2019,12.73379653,54.66897817,47.49787147,75.3372722,21.35057385,0.4307822058,35.25367322,46.28612413,8.913635637,4.681805654,49.71367392,23.78380966
O2 2012-2016,11.88466182,45.73139361,61.75726115,107.4301249,40.92705249,0.8448576047,17.33830243,29.01358078,3.201848869,2.244530291,63.96145804,12.94956559
limite_15% 2010-2019,11.26736561,52.30088487,51.49694124,27.1422988,39.0277652,0.5271103046,24.4843188,22.61075668,1.710017711,4.441471624,42.49197253,13.3116412
limite_15% 2012-2016,10.82337858,31.76750409,34.69860935,25.17312854,21.99291698,1.321185188,10.77167966,11.22846151,1.163045725,2.444103209,28.40803974,6.401822526
penalita_0.1 2010-2019,10.31996979,42.51664406,40.25310028,14.42730391,26.48690854,0.8239532586,17.61542991,11.71021458,0.7227997616,2.208490016,30.9209892,8.064233567
penalita_0.1 2012-2016,10.37451229,29.73395166,27.1352649,25.60325758,20.34007462,1.398402175,8.549016033,7.256915041,1.396885287,2.012261298,25.70313719,4.803769415
