caso,variabile,anno,valore
O2 2010-2019,investimento_S,2018,694.6881758
O2 2010-2019,investimento_N,2018,811.5998817
O2 2010-2019,investimento_R,2018,0
O2 2010-2019,produzione_lorda,2019,34660.52384
O2 2010-2019,consumo_privato,2019,14828.30629
O2 2010-2019,investimento_E,2019,1937.62312
O2 2010-2019,investimento_S,2019,455.1631579
O2 2010-2019,investimento_N,2019,757.7253221
O2 2010-2019,investimento_R,2019,0
O2 2010-2019,stock_E,2010,5253.682314
O2 2010-2019,stock_S,2010,11966.29598
O2 2010-2019,stock_N,2010,2163.778443
O2 2010-2019,stock_R,2010,16313.21928
O2 2010-2019,stock_E,2011,4580.283914
O2 2010-2019,stock_S,2011,11622.69865
O2 2010-2019,stock_N,2011,1624.551158
O2 2010-2019,stock_R,2011,17193.37068
O2 2010-2019,stock_E,2012,4149.750217
O2 2010-2019,stock_S,2012,11573.25219
O2 2010-2019,stock_N,2012,1294.251824
O2 2010-2019,stock_R,2012,17846.24942
O2 2010-2019,stock_E,2013,4080.94081
O2 2010-2019,stock_S,2013,11534.18331
O2 2010-2019,stock_N,2013,1247.247041
O2 2010-2019,stock_R,2013,18423.4734
O2 2010-2019,stock_E,2014,3814.452429
O2 2010-2019,stock_S,2014,11687.66943
O2 2010-2019,stock_N,2014,1376.838891
O2 2010-2019,stock_R,2014,18454.71284
O2 2010-2019,stock_E,2015,3702.323743
O2 2010-2019,stock_S,2015,11851.13363
O2 2010-2019,stock_N,2015,1396.972818
O2 2010-2019,stock_R,2015,18172.58535
O2 2010-2019,stock_E,2016,3854.007613
O2 2010-2019,stock_S,2016,11816.17957
O2 2010-2019,stock_N,2016,1364.452911
O2 2010-2019,stock_R,2016,17918.64948
O2 2010-2019,stock_E,2017,3934.472077
O2 2010-2019,stock_S,2017,11807.21726
O2 2010-2019,stock_N,2017,1539.35372
O2 2010-2019,stock_R,2017,17503.05567
O2 2010-2019,stock_E,2018,3926.634634
O2 2010-2019,stock_S,2018,11546.17794
O2 2010-2019,stock_N,2018,1943.733028
O2 2010-2019,stock_R,2018,17097.10087
O2 2010-2019,stock_E,2019,3888.329244
O2 2010-2019,stock_S,2019,11895.05196
O2 2010-2019,stock_N,2019,2128.453157
O2 2010-2019,stock_R,2019,16700.56153
O2 2010-2019,stock_E,2020,5253.682314
O2 2010-2019,stock_S,2020,11966.29598
O2 2010-2019,stock_N,2020,2163.778443
O2 2010-2019,stock_R,2020,16313.21928
limite_15% 2010-2019,produzione_lorda,2010,28311.58914
limite_15% 2010-2019,consumo_privato,2010,11646.70777
limite_15% 2010-2019,investimento_E,2010,558.992479
limite_15% 2010-2019,investimento_S,2010,397.0912361
limite_15% 2010-2019,investimento_N,2010,487.3959709
limite_15% 2010-2019,investimento_R,2010,454.4329421
limite_15% 2010-2019,produzione_lorda,2011,29150.47897
limite_15% 2010-2019,consumo_privato,2011,11789.48594
limite_15% 2010-2019,investimento_E,2011,475.1436071
limite_15% 2010-2019,investimento_S,2011,337.5275507
limite_15% 2010-2019,investimento_N,2011,414.2865753
limite_15% 2010-2019,investimento_R,2011,522.5978834
limite_15% 2010-2019,produzione_lorda,2012,29403.23121
limite_15% 2010-2019,consumo_privato,2012,12155.38943
limite_15% 2010-2019,investimento_E,2012,403.8720661
limite_15% 2010-2019,investimento_S,2012,286.8984181
limite_15% 2010-2019,investimento_N,2012,352.143589
limite_15% 2010-2019,investimento_R,2012,600.9875659
limite_15% 2010-2019,produzione_lorda,2013,29916.58079
limite_15% 2010-2019,consumo_privato,2013,12500.20571
limite_15% 2010-2019,investimento_E,2013,444.7952111
limite_15% 2010-2019,investimento_S,2013,243.8636554
limite_15% 2010-2019,investimento_N,2013,299.3220506
limite_15% 2010-2019,investimento_R,2013,537.9195005
limite_15% 2010-2019,produzione_lorda,2014,30896.31127
limite_15% 2010-2019,consumo_privato,2014,12818.94223
limite_15% 2010-2019,investimento_E,2014,511.5144927
limite_15% 2010-2019,investimento_S,2014,280.4432037
limite_15% 2010-2019,investimento_N,2014,330.232525
limite_15% 2010-2019,investimento_R,2014,457.2315755
limite_15% 2010-2019,produzione_lorda,2015,31651.22866
limite_15% 2010-2019,consumo_privato,2015,13270.83652
limite_15% 2010-2019,investimento_E,2015,588.2416666
limite_15% 2010-2019,investimento_S,2015,320.1471101
limite_15% 2010-2019,investimento_N,2015,379.7674037
limite_15% 2010-2019,investimento_R,2015,388.6468391
limite_15% 2010-2019,produzione_lorda,2016,32283.97354
limite_15% 2010-2019,consumo_privato,2016,13619.34995
limite_15% 2010-2019,investimento_E,2016,676.4779166
limite_15% 2010-2019,investimento_S,2016,368.1691766
limite_15% 2010-2019,investimento_N,2016,436.7325143
limite_15% 2010-2019,investimento_R,2016,330.3498133
limite_15% 2010-2019,produzione_lorda,2017,32845.33333
limite_15% 2010-2019,consumo_privato,2017,14062.11481
limite_15% 2010-2019,investimento_E,2017,777.9496041
limite_15% 2010-2019,investimento_S,2017,423.3945531
limite_15% 2010-2019,investimento_N,2017,502.2423914
limite_15% 2010-2019,investimento_R,2017,280.7973413
limite_15% 2010-2019,produzione_lorda,2018,33911.75475
limite_15% 2010-2019,consumo_privato,2018,14369.71342
limite_15% 2010-2019,investimento_E,2018,894.6420448
limite_15% 2010-2019,investimento_S,2018,486.9037361
limite_15% 2010-2019,investimento_N,2018,577.5787501
limite_15% 2010-2019,investimento_R,2018,238.6777401
limite_15% 2010-2019,produzione_lorda,2019,34370.20271
limite_15% 2010-2019,consumo_privato,2019,14783.83584
limite_15% 2010-2019,investimento_E,2019,1028.838351
limite_15% 2010-2019,investimento_S,2019,559.9392965
limite_15% 2010-2019,investimento_N,2019,664.2155626
limite_15% 2010-2019,investimento_R,2019,202.8760791
limite_15% 2010-2019,stock_E,2010,5253.682314
limite_15% 2010-2019,stock_S,2010,11966.29598
limite_15% 2010-2019,stock_N,2010,2163.778443
limite_15% 2010-2019,stock_R,2010,16313.21928
limite_15% 2010-2019,stock_E,2011,5084.376011
limite_15% 2010-2019,stock_S,2011,11992.9376
limite_15% 2010-2019,stock_N,2011,2108.177651
limite_15% 2010-2019,stock_R,2011,16389.29374
limite_15% 2010-2019,stock_E,2012,4893.090314
limite_15% 2010-2019,stock_S,2012,11957.50807
limite_15% 2010-2019,stock_N,2012,2081.195695
limite_15% 2010-2019,stock_R,2012,16531.76872
limite_15% 2010-2019,stock_E,2013,4668.564806
limite_15% 2010-2019,stock_S,2013,11866.3918
limite_15% 2010-2019,stock_N,2013,2041.321205
limite_15% 2010-2019,stock_R,2013,16749.3289
limite_15% 2010-2019,stock_E,2014,4508.773832
limite_15% 2010-2019,stock_S,2014,11736.51922
limite_15% 2010-2019,stock_N,2014,1960.896958
limite_15% 2010-2019,stock_R,2014,16898.77507
limite_15% 2010-2019,stock_E,2015,4426.784897
limite_15% 2010-2019,stock_S,2015,11648.51602
limite_15% 2010-2019,stock_N,2015,1902.557799
limite_15% 2010-2019,stock_R,2015,16964.06715
limite_15% 2010-2019,stock_E,2016,4428.569322
limite_15% 2010-2019,stock_S,2016,11604.37902
