,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N
111CA,62560.38978,0,0,0,0,12620.91535,42134.66198,-33067.75799,0,0,0,0,0,0,0,0,0,0,0,0
113FF,5885.843651,0,0,0,0,-27.07913609,6688.546614,-15599.51661,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,1062.219945,13802.30814,-270473.0177,0,0,0,0,0,0,0,0,0,0,0,0
212,311.7592328,0,348.6226556,0,0,-129.5486001,21732.5676,-5879.189315,0,0,0,0,0,0,0,0,0,0,0,0
213,0,149781.9508,3823.103676,0,0,1.965100836,3624.628491,-1283.210846,0,0,0,0,0,0,0,0,0,0,0,0
22,245786.9375,0,0,0,0,0,3630.617538,-2503.807801,0,0,0,0,0,0,0,0,0,0,0,0
23,0,315459.4508,0,0,360604.3862,0,98.35922234,0,0,7149.059913,0,0,0,11781.6819,0,0,0,249406.8507,0,0
321,4724.603561,381.8425902,0,0,2725.983565,1321.547891,4964.884996,-14741.91795,0,0,0,0,0,0,78.23116482,0,0,0,0,0
327,11304.66011,0,0,0,0,1061.726055,8486.030229,-20584.06806,0,0,0,0,0,0,0,0,0,0,0,0
331,515.4263193,0,0,0,0,4173.153957,35418.36093,-88809.96571,0,0,0,0,0,0,0,0,0,0,0,0
332,16498.06649,0,12501.85048,0,0,5376.690826,32850.92453,-57300.64531,0,0,1625.141104,0,0,0,1418.268797,0,0,0,554.9747468,0
333,6745.517863,0,225500.3389,0,0,4542.297055,112521.7748,-134067.6598,0,0,1181.35164,0,0,0,358.3433308,0,0,0,5893.960223,0
334,78478.31481,0,178970.0488,0,266.0384728,3122.664507,104723.0607,-302917.6767,0,0,23573.2341,0,0,0,7295.321162,0,0,0,12536.17792,0
335,39209.69295,0,29295.12759,0,5439.894326,1900.408509,31813.31905,-82504.5633,0,0,695.8819356,0,0,0,832.0545158,0,0,0,957.2131374,0
3361MV,192156.2876,0,215682.7721,0,0,14055.13107,104904.6708,-275041.5509,0,0,2658.730028,0,0,0,762.4737348,0,0,0,12855.82343,0
3364OT,17111.64632,0,55396.14766,0,0,3428.830349,110589.3826,-48975.83275,0,0,36808.95183,0,0,0,1543.515414,0,0,0,874.6915685,0
337,39401.50109,0,24872.68513,0,437.454324,752.4609365,3849.203058,-31215.27909,0,0,0.987481544,0,0,0,88.87333896,0,0,0,1937.438789,0
339,79630.31611,0,45674.65027,0,0,3438.611068,30924.74046,-77571.10759,0,0,120.7224605,0,0,0,174.1569922,0,0,0,834.1724117,0
311FT,522344.7941,0,0,0,0,6150.488754,68652.88671,-78590.34897,0,0,0,0,0,0,0,0,0,0,0,0
