,x_reale,q_reale
111CA,420064.6127,413055.2062
113FF,48198.1787,56045.1077
211,391494.883,311784.4827
212,118973.5655,99885.1304
213,125866.8437,173178.4413
22,466097.1225,596446.0862
23,1128512.488,1202121.095
311FT,913026.5358,920361.356
313TT,53184.69398,50024.39071
315AL,18897.24949,19328.98723
321,83894.03777,82696.86048
322,179916.5585,178383.1488
323,82722.47182,66994.70692
324,863205.3806,855516.42
325,823247.9886,792636.3247
326,219765.4445,216126.0353
327,102935.0132,99557.23549
331,278329.3753,275484.2548
332,348539.9126,334753.2084
333,391446.297,376481.0163
334,355219.2175,306152.6236
335,123755.0645,119562.5292
3361MV,550399.8909,534917.0228
3364OT,299079.3759,275028.4425
337,66598.06607,64219.87473
339,165954.0944,151584.8607
42,1721203.425,1724184.013
441,245192.5543,180171.3076
445,207604.2028,190648.8784
452,215202.8244,205924.4599
481,202496.1396,199868.1258
482,80111.51624,78890.93403
483,50560.52114,49472.21671
484,304585.4531,294876.1884
485,54639.03366,69797.44006
486,36730.40608,39992.87612
487OS,190820.1192,207984.3625
493,111775.0646,115480.199
4A0,799086.1312,781025.7575
511,310952.4895,225349.9534
512,136619.994,135529.9681
513,749720.2742,641851.9818
514,240234.7354,190112.9472
521CI,777040.6913,714761.3928
523,474230.8528,478563.2925
524,827356.4829,834068.5701
525,135530.3097,156576.7611
532RL,315356.7273,393195.4475
5411,297716.879,297562.8704
5412OP,1131560.509,1641540.696
5415,369337.9096,433552.0216
55,488677.7069,475200.8643
561,681213.4559,669554.721
562,85477.27804,100634.8371
61,312384.2837,335252.0422
621,865574.7508,889271.2186
622,718026.3465,869614.5847
623,211667.6564,212086.0021
624,171208.4374,172273.9906
711AS,148771.4629,138380.1989
713,122979.7275,174334.199
721,221703.7595,181474.0679
722,625613.7757,740572.9485
81,574696.2508,713260.4567
GFE,93450.68235,70084.00883
GFGD,633151.0606,607146.3988
GFGN,360537.2605,340346.6265
GSLE,302549.2615,87803.44679
GSLG,1962204.783,1523078.27
HS,1743029.863,1735784.744
ORE,960462.7846,988222.6901
Other,,2961.2718
Used,,7725.099671
