,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other
111CA,0.9983874378,0.08897171749,0,0,0,0,0,0.0001013570584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01537662865,0,0,0,0,0,0,0,0,0,0
113FF,3.95008028e-05,0.8413659816,0,0,0,0,0.0008546690041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0.9987543037,0.0006326711375,0.2774121438,0,0.001081500588,0,0,0,5.347943122e-05,0.0005334393239,0,0,0,0,0,0,0,0,0,0,0,0.0323044339,0.0003254348623,0,0.0005771890778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002312781505,0.0009043873302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0.9867033616,0.05768379725,0,0.005512007492,0,0.002636821751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2190942e-05,0.003472139647,0,0.0003284399388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.593181941e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,0,0,0.0004412466569,0.0003796026825,0.6648983853,0,0.006754720527,0,0,0,0.002896802524,0,0,0,0,0,0,0,0,0,0,0,0,3.639116131e-06,0,0,0.0004371609583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002032444353,0.0003719706029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0.0002761543703,0,0,0.7696200775,0.001178714124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001610892594,0,0,0,0.000227187617,0,0,0,0,0,0.06580468584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009765077466,7.631707039e-05,0,0,9.769059435e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02187440861,0,0
23,0,0,0,0,0,0,0.9384622115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005513297326,7.811983583e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0.0002503248552,0.986654654,0.0005664283761,0,0.0007546541961,0,0,0,0,0,0.004120921364,6.527883856e-06,0,0,0,0.0005454228118,0,0,1.001338038e-05,0.0006885897953,0.0005749121978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971442989e-05,7.992260127e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004077991589,0
327,0,0,6.003355876e-06,0.0050613691,5.673630102e-06,0,0.0003337664736,6.757137226e-05,0.9877631939,0,0.0006595796517,1.045959459e-05,0,0.00184237633,0,2.507046592e-05,0.001353138358,1.305576771e-05,0,0.006269219323,0.0001510574018,0.001221747098,0,2.911292905e-05,0.0002002676076,0.0005662745027,0.0008418763768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.606743043e-05,0.0004987651057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006371861858,0
331,0,0,0,0,0,0,0.000117466356,0,3.906402594e-05,0.9822275837,0.003939651433,0.0005543585131,3.304081201e-06,0.005409886861,0,0,0,0,0,0.000634857653,0,1.090845624e-05,0,0.003170883189,0.0003091631192,0,0.0007160787573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001238155755,0.0002595982237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09251943418,0
332,0,0,0,0,0,0,0.0008773521625,0.002443831297,0.0008203445447,0.01158703144,0.9764928189,0.009685584587,0.00167847325,0.002411838105,0.002741307438,0.001450505528,0.00170679952,0.00162544308,0,0.0001983930166,0,1.636268435e-05,0.001262232518,7.278232263e-06,0.0001414389979,0.005264087777,0.00257458205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000607397163,0.001946986678,0,0,0,0,0,0,0,0,0,0,0,0,0.0001317085619,0,0,0,0,0,0.1436217663,0
333,0,0,0,0,0,0,0.0003613103088,0,0.001035196687,0.0001114137638,0.007264289407,0.9735764492,0.003287560795,0.01165721751,0.001920956804,0.0006733210846,0.0001076360058,0.00154058059,4.305162859e-06,0.001626822736,0,3.817959682e-05,0,0,0.0001589624135,0.0008652674401,0.00515144098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.013750235e-05,0,0.001630627768,0.00481638834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01911558557,0
334,0,0,0,0,0,0,1.37719176e-05,2.252379075e-05,0.0001562561038,0.0001613578649,0.0004902281195,0.001683994728,0.9764352929,0.006674426979,2.412795985e-05,0.009322631826,0.000123012578,0.004673964841,0,1.983930166e-05,0,3.272536871e-05,8.909876598e-05,0,0.0002966463937,0.001322817238,0.002391862431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002948212383,0.02764300437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,3.72651888e-05,0,0.0007324504863,0.004817684822,0.0005674761868,0.001189778884,0.002540838444,0.9661002755,0.000335935441,0.0002148897079,4.612971676e-05,0.0004895912892,0,0.0004959825414,0,0.0003327079152,0,4.852154842e-06,0.0002403211291,4.077176419e-05,0.001292698615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005793634478,0.001401950592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3361MV,0,0,0,0,0,0,0.0002414136144,0,2.929801945e-05,0.0001575160109,0.001803445264,0.003663473004,0.0002015489533,0.0007955715973,0.9933258351,0.001192637879,0.0004459205954,0.0005157028246,0,0.003452038488,0,0,0,0,1.126505293e-05,0.0008562070481,0.002214835012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007288765956,0.006635979593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096724863,0
3364OT,0,0,0,0,0,0,0.0004188283177,0,0,3.841853925e-06,0.0009596586824,0.004834947597,0.005980386974,0.002294595975,0.0003544954101,0.9855594116,0,1.958365157e-05,0,0.0004563039381,0,0,0,0,2.503345095e-05,0.0002536909772,0.001166900996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001450744762,0.01233932853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109596024,0
337,0,0,0,0,0,0,0.0001490607552,0.004639900895,0.001289112856,4.226039318e-05,0.0008259601043,0.0001542790201,9.912243603e-06,6.699550293e-05,3.711993823e-06,0,0.981701879,0.00199753246,0,0.003908342426,0.0001007049345,7.090496553e-05,0.000133648149,0,1.502007057e-05,0.0005708046987,0.0008970907166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.110957445e-05,0.0001580424371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0.0006164958409,0.0007658088856,0.0001660221102,0.0003303994376,0.0009002370921,0.0005334393239,0.002210430324,0.0007202016565,0.0001113598147,0.0006912285603,0.003598117908,0.9485211079,0,0.0009919650828,0.007653575025,0.0007854088489,0.004276740767,3.032596776e-05,0.000448098772,0.004040934851,0.003402797147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008737174575,0.006938844187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311FT,0,0,0,0,0,0,7.777082881e-05,0,0,0,0,0,0,0,0,0,0,6.527883856e-06,0.9710208725,0,0.002064451158,0.0006817785147,0,4.852154842e-06,0.004835211051,9.060392043e-06,0.006770302654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002266058647,0.002112240176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003823117115,0
313TT,0,0,0,0,0,0,2.8353948e-05,0,0,1.152556178e-05,0.0002614549971,0.0001412045269,9.912243603e-06,0,0.0002338556109,3.581495131e-06,0.004013285358,0.0008747364367,0,0.9547068743,0.005689828802,0.0002072606685,0.001470129639,0,0.004345807085,0.0008018446958,0.0003608854786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.504214402e-05,0.000138812939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315AL,0,0,0,0,0,0,8.101128001e-07,0,2.929801945e-05,0,0,0,0,0,0,0,0,1.305576771e-05,0.0001937323287,0.0008927685745,0.9159617321,0,4.454938299e-05,0,1.376839802e-05,4.530196022e-06,0.0004303303184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.008428804e-05,0.0001075650047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,5.427755761e-05,0.001531617771,0.001318410875,3.841853925e-06,1.782647707e-05,0,0.002157565024,0,0,0,0,0.00054181436,0,0.0024005555,0,0.9786412427,0.004440088505,0,0.0001915058998,0.002962748198,0.0007741391971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001448408619,0.0007824002019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04906333631,0
323,0,0,0,0,0,0,2.4303384e-06,4.504758151e-05,0,0,0.0005080545966,0,0.0001817244661,0,0,0,3.075314451e-05,0.003263941928,0,0.01027675826,0.0007049345418,0.005732393752,0.9018577093,0,0,0.002305869775,0.000523113178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004719008728,0.01107078258,0,0.0002429632684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01070472792,0
324,0,0,0.0002131191336,0.002340883209,0,0,8.749218241e-05,0,0.001962967303,6.531151673e-05,0,0,0,7.536994079e-05,0,0,0,0,0,0,0,3.272536871e-05,0,0.9616728289,0.03971306659,4.530196022e-06,0.004743879462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.877343151e-05,9.013827211e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,0,2.108903792e-05,0,0,8.830229521e-05,1.126189538e-05,0.000322278214,0.0003342412915,0.0004040668136,0.0005099052361,0.003419724043,0.0007871971594,0,7.162990262e-06,0,0.002924491967,0.01224495946,0.0005555004464,0.0007049345418,0.0009872152893,1.484979433e-05,0.002655341737,0.9440677605,0.01769947586,0.00788369697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001102659465,0.02506324702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,5.508767041e-05,0.001621712934,0.001132856752,0.0001459904492,0.001200316123,0.001916720708,0.0004790917742,0.001164046863,0.0004788472032,0.0008273253753,0.002752406434,0.003851451475,0,0.0131137784,0,0.00767955319,0.002212619355,2.426077421e-05,0.001058914975,0.9617424946,0.001741813193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002663202945,0.001632704569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008793169364,0
42,0,0.008093044123,0,0,0,0,0.002270746179,0,0,0,0,0.001006735979,0.0003304081201,0,0.0004695672186,3.223345618e-05,0,0.008747364367,0.003503326276,0,0,0,0,0,0,0,0.9446832006,0,0,0,0,0,0,0,0,0,0.02137649529,0.003870660116,0.0006226977723,0,0,0,0,0,0,0,0,0,0,0.02627739059,0,0.02883968453,0.0004651134841,0,3.534011176e-05,0,0,0,0,0,0,0,0,0,0,0.08211205655,0,0,0,0,0,0,0
441,0,0,0,0,0,0,1.6202256e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9897175387,0,0,0,0,0,0,6.691245843e-05,0,0,0.001467859029,0.001885634099,0,0,0,0,0.005043473622,0,0,0,0,0,0.001504363659,0,3.504214402e-05,1.322027991e-05,0,0,0,9.613227801e-05,0,0,0,0,0,0.000970561515,0,0,0.08677673478,0,0,0,0,0,0,0
445,0,0,0,0,0,0,4.050564001e-06,0,0,0,0,0,0,0,0,0,0,0,0.008698581556,0,0,0,0,0,0,0,0,0,0.9712397899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003960633701,0,0,0,0,0,0.001589753249,0,2.336142935e-06,6.610139955e-06,0,0.0002223482032,0,0,0,0,0,0,0,0.0002595687773,0,0.01795490739,2.332339117e-05,0,0,0,0,0,0,0
452,0,0,0,0,0,0,0.001393394016,0,0,0,0,0,0,0,0,0,0,0,0.00243887476,0,0,0,0,0,0,0,0,0,0,0.9703194002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004847114962,0,0,0.0002187355403,0,0.0002076231566,0,0,0.001237268905,0,0,0,0,0,0,0.008585923944,0.004659190376,0,0,0,0,0,0,0
4A0,0.0004252145242,0,0,0,0,0,0.004752121685,0,0,0,0,0,0,0,0,0,0,0.01326466,2.690726787e-05,0,0.01067472306,0,0.0005197428016,0,0,0,0,0,0,0,0.9649843965,0,0,0,0,0,0,0.009975831748,0.0002631117348,0,0.003981780563,0.0001103001718,0,0.0002947138209,0,0,0,0,0,0.007411314121,0,0.004333545144,0.000504173402,0,0.002429632684,0,0.0004136601054,0.0004083322084,0,0,0,0,0.001196273495,0,0.01839463558,0.01785748585,0,0,0,0,0,0,0
