famiglia,vincoli_con_duale_non_nullo
accumulazione,979
banda_import,331
bilancio,355
capacita,160
import_totale,5
lavoro,5
quote,355
scorte,55
scorte_massime,11
scorte_minime,27
terminale,3
terminale_scorte,6
