anno,comparto,stock,minimo,violato
2012,2,215.62,183.277,False
2012,3,98.972,84.1262,False
2012,5,413.601,351.56085,False
2012,6,315.987,268.58895,False
2012,8,351.052,298.3942,False
2012,9,289.316,245.9186,False
2012,11,159.204,135.3234,False
2012,12,48.568,41.2828,False
2012,13,88.112,74.8952,False
2012,14,229.494,195.0699,False
2012,15,160.227,136.19295,False
2013,2,225.5978212,190.4865378,False
2013,3,92.12170797,87.27429007,False
2013,5,429.4912612,359.7180931,False
2013,6,326.973628,275.6723653,False
2013,8,367.791221,310.3253354,False
2013,9,304.7341142,255.7515261,False
2013,11,180.3196911,149.5449695,False
2013,12,49.12945204,41.26793168,False
2013,13,90.52240049,76.44570037,False
2013,14,243.487916,204.2103651,False
2013,15,167.4668346,139.263981,False
2014,2,222.4528698,193.613012,False
2014,3,96.81449427,92.82665669,False
2014,5,444.7353307,368.3912917,False
2014,6,330.2341585,272.0492311,False
2014,8,393.6621867,324.9516046,False
2014,9,319.469551,267.8056198,False
2014,11,190.6549589,165.6761687,False
2014,12,50.03983526,41.73781912,False
2014,13,89.37829294,77.8630889,False
2014,14,249.7832345,211.3755315,False
2014,15,179.333509,144.5758059,False
2015,2,223.5199965,197.7348976,False
2015,3,118.5776266,93.70276246,False
2015,5,463.1502768,366.8462236,False
2015,6,349.8344013,272.2900502,False
2015,8,403.141465,330.8050681,False
2015,9,347.4211618,272.6296933,False
2015,11,202.2929101,188.6761638,False
2015,12,52.17294301,41.94441834,False
2015,13,92.20934444,80.57139259,False
2015,14,264.922468,222.2797712,False
2015,15,189.345268,149.0947581,False
2016,2,217.3591616,209.3205551,False
2016,3,127.471616,93.08264018,False
2016,5,450.1499159,357.1299884,False
2016,6,363.4609477,277.9506717,False
2016,8,406.9485745,332.2628534,False
2016,9,357.7431587,273.8311125,False
2016,11,221.7707649,217.0680167,False
2016,12,53.80719598,41.77470287,False
2016,13,91.38077843,80.48531569,False
2016,14,271.3014191,231.9958538,False
2016,15,180.5162954,153.0531045,False
