anno,prodotto,F050
2012,42,33503
2012,482,270
2012,483,13267
2012,484,2736
2012,487OS,3495
2013,42,35468
2013,482,328
2013,483,12634
2013,484,3473
2013,487OS,2782
2014,42,37363
2014,482,413
2014,483,13218
2014,484,4510
2014,487OS,3001
2015,42,38123
2015,482,393
2015,483,12285
2015,484,4683
2015,487OS,3043
2016,42,37534
2016,482,352
2016,483,11192
2016,484,4281
2016,487OS,2974
