famiglia,vincoli_con_duale_non_nullo
accumulazione,1680
banda_import,689
bilancio,710
capacita,387
import_totale,10
lavoro,10
o2,630
quote,710
regola_inv_max,2
regola_inv_min,38
scorte,110
scorte_minime,84
terminale_scorte,4
