famiglia,vincoli_con_duale_non_nullo
accumulazione,980
banda_import,292
bilancio,355
capacita,133
import_totale,5
lavoro,5
quote,355
scorte,55
scorte_massime,45
scorte_minime,5
terminale,2
terminale_scorte,7
