,x_reale,q_reale
111CA,404166,397497
113FF,46892,54568
211,362616,289774
212,124611,103521
213,126190,174991
22,461578,592488
23,1075477,1166730
311FT,895874,908687
313TT,51802,49016
315AL,19244,19805
321,80398,78665
322,179235,176996
323,83081,67599
324,833174,811868
325,794029,766276
326,216486,213985
327,99294,95324
331,269218,265708
332,343079,330487
333,404552,390237
334,354253,305569
335,122794,118515
3361MV,516699,502522
3364OT,290815,265274
337,65729,62965
339,156592,145218
42,1655028,1651544
441,221875,153483
445,207679,189132
452,210838,200346
481,195415,193038
482,79141,77916
483,50023,49127
484,297774,291631
485,50992,65949
486,36442,39780
487OS,187233,202462
493,108888,112115
4A0,763319,742207
511,296233,209174
512,131699,130477
513,733128,625527
514,221543,168246
521CI,761619,701690
523,478470,485290
524,798591,805654
525,117259,139737
532RL,298617,373365
5411,306935,306849
5412OP,1123861,1626849
5415,354223,415022
55,478846,465685
561,661562,656696
562,83564,96608
61,309610,335305
621,869254,881001
622,709379,852571
623,208979,209438
624,169679,171256
711AS,144767,134398
713,119836,169688
721,214978,174873
722,613983,730541
81,576029,718403
GFE,98913,75494
GFGD,676303,650338
GFGN,370378,349383
GSLE,298570,85085
GSLG,1947062,1515718
HS,1726663,1720653
ORE,889093,916747
Other,,2843
Used,,8532
