,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N
111CA,62029,0,0,0,0,-18301,47250,-32285,0,0,0,0,0,0,0,0,0,0,0,0
113FF,5694,0,0,0,0,694,6259,-16124,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,2457,8986,-335111,0,0,0,0,0,0,0,0,0,0,0,0
212,260,0,393,0,0,1158,27927,-6497,0,0,0,0,0,0,0,0,0,0,0,0
213,0,152911,3778,0,0,11,3416,-992,0,0,0,0,0,0,0,0,0,0,0,0
22,242449,0,0,0,0,0,3488,-2099,0,0,0,0,0,0,0,0,0,0,0,0
23,0,312974,0,0,313747,0,99,0,0,8107,0,0,0,14843,0,0,0,261830,0,0
321,5008,273,0,0,2772,818,4945,-13620,0,0,0,0,0,0,96,0,0,0,0,0
327,10445,0,0,0,0,932,8549,-20384,0,0,0,0,0,0,0,0,0,0,0,0
331,519,0,0,0,0,3823,35764,-84060,0,0,0,0,0,0,0,0,0,0,0,0
332,15435,0,12974,0,0,4354,31549,-57624,0,0,2061,0,0,0,1452,0,0,0,665,0
333,6323,0,232744,0,0,6541,120979,-143189,0,0,1448,0,0,0,412,0,0,0,4816,0
334,80469,0,174644,0,302,1564,104333,-297795,0,0,27077,0,0,0,7200,0,0,0,13818,0
335,39190,0,26668,0,5065,1885,30893,-79271,0,0,848,0,0,0,909,0,0,0,836,0
3361MV,186249,0,195892,0,0,18176,99623,-266095,0,0,1603,0,0,0,957,0,0,0,15577,0
3364OT,16159,0,52835,0,0,6752,98404,-46011,0,0,39103,0,0,0,3365,0,0,0,1169,0
337,39905,0,24552,0,431,793,3891,-30020,0,0,1,0,0,0,43,0,0,0,1600,0
339,83626,0,42477,0,0,2199,31787,-79712,0,0,105,0,0,0,201,0,0,0,624,0
311FT,520332,0,0,0,0,5230,64565,-80395,0,0,0,0,0,0,0,0,0,0,0,0
313TT,22389,0,1149,0,299,637,9191,-27520,0,0,0,0,0,0,44,0,0,0,16,0
315AL,135079,0,0,0,0,382,4729,-134840,0,0,0,0,0,0,0,0,0,0,0,0
322,20503,0,0,0,0,681,21541,-21433,0,0,0,0,0,0,0,0,0,0,0,0
323,6224,0,0,0,0,-80,2279,-2461,0,0,0,0,0,0,0,0,0,0,0,0
324,290607,0,0,0,0,4359,118412,-100229,0,0,0,0,0,0,0,0,0,0,0,0
325,237611,0,3076,0,0,2009,155214,-208004,0,0,0,0,0,0,0,0,0,0,0,0
