famiglia,vincoli_con_duale_non_nullo
accumulazione,980
banda_import,333
bilancio,355
capacita,198
import_totale,5
inv_max,8
inv_min,8
lavoro,5
o2,315
quote,355
scorte,55
scorte_minime,37
terminale,2
terminale_scorte,7
