caso,h,S,alfa_coperto,r_produzione,r_consumo,r_investimento_tipo,r_stock_tipo,r_importazioni,r_scorte
P1|stretto|agg+ind|T2,1,1.530353705,1,1.25181467,2.158541539,0.7830251823,0.448980595,1.825505695,4.28936923
P1|largo|ind|T2,1,1.540922308,1,1.302929423,1.678333989,1.156555386,0.6159268839,3.013094574,4.059695791
P1|largo|agg|T2,1,1.550858771,1,1.54715225,1.895278326,0.74441522,0.2696012136,2.887174461,3.958554186
P1|largo|agg+ind|T1,1,1.571282234,1,1.259939225,1.35484254,1.784626739,1.592189575,2.151131997,3.262935993
condizionata|P1|E6|agg|T1,1,1.58536193,1,1.471254381,2.050252917,0.6315470915,0.2489454889,2.787300052,4.766815416
P1|E6|agg|T3,1,1.587188049,1,1.396508282,1.57869464,1.274292904,1.503250032,2.492199959,3.296671806
P1|tetto110|ind|T2,1,1.641242073,1,1.293542711,2.086850957,1.135520105,0.6126461608,2.512995824,4.262110897
P1|stretto|ind|T2,1,1.641242073,1,1.293542711,2.086850957,1.135520105,0.6126461608,2.512995824,4.262110897
P1|E6|agg|T2,1,1.641319098,1,1.592580712,2.209426981,0.74441522,0.2696012136,2.677794731,3.819677772
P1|E6|ind|T2,1,1.646968479,1,1.394352409,2.068429645,1.129252292,0.6086257693,3.111884884,3.316531662
P1|largo|ind|T1,1,1.661428101,1,1.378118001,1.383608877,1.777926601,1.984926416,1.877941749,3.698699769
P1|tetto100|agg|T1,1,1.688554815,1,1.864904407,0.8790932168,1.840463086,1.676462204,1.060262104,5.532071697
P1|E6|agg+ind|T2,1,1.706024689,1,1.482032893,2.391877476,0.8214527728,0.4617426374,2.611202351,4.056532843
P1|largo|agg|T3,1,1.790707935,1,1.486958108,1.760385218,1.840463086,1.676462204,2.630217431,2.985104562
P3|q25,1,1.835830731,1,1.553233029,1.606428489,1.840463086,1.676462204,2.727277153,4.316591614
P1|tetto110|agg|T1,1,1.873534913,1,1.31043585,2.131936456,1.840463086,1.676462204,1.919365483,4.182322182
P1|stretto|agg|T1,1,1.873534913,1,1.31043585,2.131936456,1.840463086,1.676462204,1.919365483,4.182322182
P1|largo|agg|T1,1,1.954225097,1,1.538918695,2.052421312,1.840463086,1.676462204,3.0373209,3.784364248
P1|E6|agg|T1,1,1.957819011,1,1.550552456,2.084191296,1.840463086,1.676462204,2.703689448,3.929451499
P1|tetto100|nessuna|T3,1,2.034309206,1,1.078551552,0.9446341775,3.634151063,4.233591497,1.853977383,3.689305105
P1|tetto100|nessuna|T2,1,2.041029945,1,1.077876728,0.9440245031,3.710771222,4.112842725,2.0428583,3.57756287
P3|q75,1,2.232575102,1,1.390431177,3.250634724,1.840463086,1.676462204,2.537628184,3.552701699
P2|uniformi|li0.5|T1,1,2.245412016,1,1.394891717,3.708374081,1.463995537,1.703446286,1.640807558,3.384963254
P1|tetto110|nessuna|T3,1,2.359127903,1,1.316641384,1.416174176,3.905229359,4.464875221,2.468199367,3.766797451
P1|stretto|nessuna|T3,1,2.364535034,1,1.316641384,1.416174176,3.905229359,4.464875221,2.468199367,3.874940078
P1|stretto|nessuna|T2,1,2.413453423,1,1.311915933,1.398585349,4.220824178,4.57273465,2.553975006,3.423319754
P1|tetto110|nessuna|T2,1,2.444088732,1,1.333779578,1.447283078,4.214857778,4.570534336,2.560013147,3.634885772
P1|largo|nessuna|T2,1,2.495453298,1,1.58692619,1.673539927,3.77040642,4.238461418,2.827582959,3.96013778
P1|largo|nessuna|T3,1,2.548102641,1,1.592686173,1.649843811,4.034035643,4.298761971,2.909268316,3.86393808
P1|E6|nessuna|T2,1,2.563773853,1,1.539617986,1.667493049,4.121714171,4.366947039,2.70103838,4.111021702
P1|E6|nessuna|T3,1,2.673825138,1,1.629110597,1.793788552,4.403164697,4.584127716,2.830310649,3.327883006
P1|largo|nessuna|T1,1,2.954418082,1,1.912455437,2.645854225,3.995791493,4.34449103,3.523841127,3.542514506
P1|E6|nessuna|T1,1,2.995596502,1,1.802323211,2.963146425,4.087452803,4.351176469,2.866650677,3.400297387
P1|stretto|nessuna|T1,1,3.041660836,1,1.533158173,2.394737243,5.326025456,4.870013188,2.46597955,3.755736473
P1|tetto110|nessuna|T1,1,3.169138088,1,1.595626751,2.403877526,5.720885316,4.960538635,2.566161226,4.014956333
P1|tetto100|nessuna|T1,1,3.988080727,1,3.280590982,0.8406058816,8.436952682,5.842202832,2.307467119,7.294749854
P1|tetto100|agg|T2,2,0.774643159,1,0.9449278705,0.7916908066,0.3788604215,0.2916156318,0.627359939,2.34711823
P1|tetto100|ind|T1,2,0.8098127398,1,0.8135088351,0.6129365614,0.6519856182,1.040073872,0.790385889,2.159106311
