caso,h,gruppo,n,MAE,RMSE,WMAE,WRMSE,sMAPE,errore_tassi,segno,theil_U,rapporto_WMAE
P1|E6|agg+ind|T3,1,stock_tipo,20,46.02604245,59.18823522,53.87461398,70.5150094,0.007116376923,0.007307382259,1,0.3552826493,0.3781927342
P1|E6|agg|T1,1,aggregati,25,285.6441375,366.7437427,360.732396,452.0985767,0.05405372804,0.05425960936,0.6,1.043693268,0.7128051526
P1|E6|agg|T1,1,consumo,355,12.50756261,25.00588369,27.62556176,41.72393485,0.1232054885,0.1268420406,0.6793650794,2.681176855,2.271965905
P1|E6|agg|T1,1,importazioni,355,7.630086163,25.57527772,41.98485695,68.87797859,0.1847720306,0.1685317702,0.6238938053,3.910787195,3.924100562
P1|E6|agg|T1,1,investimento_ind,980,14.10473537,28.77096745,40.58147599,59.82431731,1.743635736,2.752334437,0.4,6.115644978,3.486102737
P1|E6|agg|T1,1,investimento_tipo,20,71.78018417,84.08278404,77.76524244,88.14203322,0.1065232371,0.1153129454,0.3,1.730779898,1.721863461
P1|E6|agg|T1,1,produzione,355,24.36595818,44.20714066,38.39390195,59.59995916,0.07917805061,0.07251346571,0.6253521127,1.999581461,1.635479442
P1|E6|agg|T1,1,scorte,55,34.0004739,42.0028906,43.16255122,51.16256626,0.1608898327,0.1568624333,0.2545454545,3.329136599,3.550137049
P1|E6|agg|T1,1,stock_ind,980,14.02976396,28.80406473,48.98196272,74.99415432,0.2751664969,0.6316883344,0.3795918367,2.283638541,0.7532936753
P1|E6|agg|T1,1,stock_tipo,20,66.12673857,78.8200388,62.95568132,81.46315505,0.01195140897,0.01228385891,1,0.4731242974,0.4419406376
P1|E6|agg|T2,1,aggregati,25,236.1697143,330.5493786,353.105542,469.3021528,0.03955863137,0.04017349207,0.72,0.9406899718,0.6977345326
P1|E6|agg|T2,1,consumo,355,10.93320194,22.05354124,23.29631031,35.74122935,0.1120312234,0.1134752557,0.673015873,2.364621266,1.915922043
P1|E6|agg|T2,1,importazioni,355,8.048190238,25.73187744,44.46977519,69.87686308,0.1944727397,0.1828162954,0.6194690265,3.934733297,4.156352611
P1|E6|agg|T2,1,investimento_ind,980,14.79324295,30.55995664,35.68463482,52.61656214,1.762056353,2.815164005,0.4,6.495917999,3.065445505
P1|E6|agg|T2,1,investimento_tipo,20,43.62721941,53.63172362,48.16707004,57.91008426,0.06323611781,0.06520095568,0.6,1.103968074,1.066506261
P1|E6|agg|T2,1,produzione,355,23.78557881,43.61069566,36.98450591,57.60110621,0.07894547421,0.07261012449,0.6422535211,1.972603006,1.57544287
P1|E6|agg|T2,1,scorte,55,35.19880053,42.34730611,43.52874382,50.13411541,0.164797864,0.1643733293,0.3272727273,3.35643487,3.580256536
P1|E6|agg|T2,1,stock_ind,980,14.67895796,30.45026583,28.36823131,43.85732153,0.2832395586,0.5844002693,0.3775510204,2.414152353,0.4362750702
P1|E6|agg|T2,1,stock_tipo,20,37.80176535,46.41432128,27.07722269,34.58080887,0.008960480948,0.009224640216,1,0.2786060941,0.190078557
P1|E6|agg|T3,1,aggregati,25,217.4447327,316.6925035,344.3029922,462.1388346,0.03431026943,0.03480335262,0.76,0.9012555507,0.6803407445
P1|E6|agg|T3,1,consumo,355,10.36730888,20.81052624,21.87205107,33.39755224,0.1094789801,0.1104491238,0.673015873,2.23134291,1.798788916
P1|E6|agg|T3,1,importazioni,355,7.962676665,25.68473824,44.19196932,69.86835903,0.186341418,0.1752491319,0.6283185841,3.927525109,4.130387578
P1|E6|agg|T3,1,investimento_ind,980,14.51573269,29.86323314,39.78215467,60.72198203,1.762536162,2.585596982,0.4010204082,6.347820318,3.417438003
P1|E6|agg|T3,1,investimento_tipo,20,54.63355492,69.28051076,55.59240267,68.12844538,0.08433284757,0.0931729959,0.55,1.426086407,1.230916587
P1|E6|agg|T3,1,produzione,355,22.96532341,42.68401404,36.04058834,56.76458421,0.07473740227,0.06907626159,0.6422535211,1.930687258,1.53523446
P1|E6|agg|T3,1,scorte,55,36.35218629,45.27803021,46.61897638,54.32561938,0.1598723263,0.1602031861,0.3636363636,3.588723189,3.834429396
P1|E6|agg|T3,1,stock_ind,980,14.4305371,29.85433965,45.05247852,73.2915726,0.2824514821,0.4983743315,0.3785714286,2.366906244,0.6928621321
P1|E6|agg|T3,1,stock_tipo,20,49.90414105,65.80638502,47.94608606,71.03089786,0.00974067142,0.01001084638,1,0.3950086825,0.3365752447
P1|E6|ind|T1,1,aggregati,25,194.8298685,263.3182219,283.0652829,354.4648858,0.03500850341,0.03538206617,0.72,0.7493609937,0.5593353809
P1|E6|ind|T1,1,consumo,355,9.584856585,19.79420449,21.1992421,33.32616569,0.1021497292,0.1027917671,0.6666666667,2.122371024,1.743456139
P1|E6|ind|T1,1,importazioni,355,6.904805698,21.67398921,38.70300468,57.80617481,0.1893309839,0.1618260008,0.6548672566,3.314230266,3.617363341
P1|E6|ind|T1,1,investimento_ind,980,3.220584852,10.16489185,21.69965294,49.01201111,0.4326826821,0.6190352642,0.1316326531,2.160680552,1.864082507
P1|E6|ind|T1,1,investimento_tipo,20,95.79512721,115.6969944,104.7561531,125.343344,0.1396722466,0.1514640101,0.35,2.381534276,2.319491159
P1|E6|ind|T1,1,produzione,355,20.93713298,40.64199186,32.97589693,53.62576375,0.06815180159,0.06284644508,0.6281690141,1.838322322,1.40468665
P1|E6|ind|T1,1,scorte,55,36.43249597,43.51684375,45.34642644,51.3827862,0.1668732005,0.1675321977,0.3454545455,3.449132075,3.729761656
P1|E6|ind|T1,1,stock_ind,980,3.145266401,10.4198874,45.75409474,82.25690941,0.08341573104,0.1116624493,0.7775510204,0.8261075892,0.703652289
P1|E6|ind|T1,1,stock_tipo,20,90.71803158,113.0942114,87.87408739,112.4302577,0.01536549229,0.01581472373,0.9,0.6788580684,0.6168645846
P1|E6|ind|T2,1,aggregati,25,191.8490568,267.4052517,266.9854661,352.9075966,0.03560097424,0.03583417173,0.76,0.7609920181,0.527561755
P1|E6|ind|T2,1,consumo,355,9.923761595,21.082013,22.205199,35.24379137,0.102205535,0.1029454686,0.6634920635,2.260452221,1.82618748
P1|E6|ind|T2,1,importazioni,355,7.287356442,21.61038469,40.29686338,56.90232467,0.1809314137,0.1611146436,0.6548672566,3.30450432,3.76633281
P1|E6|ind|T2,1,investimento_ind,980,2.476933243,6.038641578,12.92255052,21.54047391,0.2913464229,0.4938977748,0.09387755102,1.283592152,1.110096112
P1|E6|ind|T2,1,investimento_tipo,20,69.06541545,85.47465762,79.44970569,96.9753304,0.09474207534,0.098679343,0.4,1.759430553,1.759160531
P1|E6|ind|T2,1,produzione,355,21.47683645,40.93658178,33.24165372,53.4289513,0.07062370777,0.06497740655,0.6084507042,1.851647241,1.416007192
P1|E6|ind|T2,1,scorte,55,37.659401,45.48857615,47.56182057,54.27747005,0.1721272662,0.1714255238,0.3272727273,3.605410998,3.911978707
P1|E6|ind|T2,1,stock_ind,980,2.391972216,5.902261721,22.22471697,31.07535586,0.06310915747,0.07596504359,0.8295918367,0.4679420239,0.3417939543
P1|E6|ind|T2,1,stock_tipo,20,68.5610386,85.1061634,53.59232528,69.46217445,0.01386870758,0.01433441905,0.9,0.5108573198,0.3762111045
P1|E6|ind|T3,1,aggregati,25,189.5386234,257.0852094,313.7336764,366.3033964,0.03037595298,0.03085010986,0.76,0.7316228498,0.6199359512
P1|E6|ind|T3,1,consumo,355,8.119265131,17.77058925,18.85053118,30.94235797,0.09317763887,0.09191795275,0.6634920635,1.905395274,1.550294777
P1|E6|ind|T3,1,importazioni,355,6.090516286,18.34796262,32.61343583,48.49613484,0.1571081005,0.143585487,0.6548672566,2.805638243,3.048203832
P1|E6|ind|T3,1,investimento_ind,980,2.725513639,8.427174412,18.33998066,39.64686744,0.3388668238,0.565427216,0.1051020408,1.791306009,1.575473914
P1|E6|ind|T3,1,investimento_tipo,20,80.15497134,96.5670862,87.45882602,104.8946428,0.1149662167,0.1260205515,0.45,1.987759724,1.936496976
P1|E6|ind|T3,1,produzione,355,18.93339259,35.63570167,29.27097074,45.97387449,0.06559739805,0.0595296152,0.6338028169,1.611877343,1.24686652
P1|E6|ind|T3,1,scorte,55,35.36827421,42.90254959,45.15458565,51.48708107,0.1595550081,0.1591317492,0.3636363636,3.400443303,3.713982674
P1|E6|ind|T3,1,stock_ind,980,2.66326073,8.645075072,39.01510265,66.66616914,0.06859836291,0.09158264368,0.8255102041,0.6853972456,0.6000133199
P1|E6|ind|T3,1,stock_tipo,20,80.74663468,97.82431486,75.30666628,94.16452741,0.01421047106,0.01468100578,0.95,0.5871991558,0.5286429344
P1|E6|nessuna|T1,1,aggregati,25,389.3953903,505.5123694,430.0044598,523.8853086,0.084852844,0.08146953795,0.68,1.438606294,0.8496863546
P1|E6|nessuna|T1,1,consumo,355,14.63524729,27.90339192,34.57888274,49.14040609,0.1473708543,0.150651293,0.6793650794,2.991853018,2.843817016
P1|E6|nessuna|T1,1,importazioni,355,7.62300034,23.46086213,43.97420516,63.82903332,0.2255046604,0.1891657609,0.5884955752,3.587465998,4.110034325
P1|E6|nessuna|T1,1,investimento_ind,980,13.26907951,32.76517722,88.6213514,150.8237735,1.761294661,2.304140934,0.3897959184,6.964666441,7.612910279
P1|E6|nessuna|T1,1,investimento_tipo,20,335.103334,354.8041467,318.7508281,344.3539727,0.7116647193,0.5808301666,0.45,7.303372409,7.057721248
P1|E6|nessuna|T1,1,produzione,355,26.17539888,47.53710623,41.21447746,63.25422977,0.08365573657,0.07462625014,0.6535211268,2.150202771,1.755628555
P1|E6|nessuna|T1,1,scorte,55,37.5504846,47.60511605,47.48421159,56.98450023,0.1608335029,0.166462718,0.4181818182,3.77316732,3.905595337
P1|E6|nessuna|T1,1,stock_ind,980,13.23141431,32.86211783,168.6909211,233.3307793,0.2589980938,0.5252536418,0.3612244898,2.605368358,2.594297918
P1|E6|nessuna|T1,1,stock_tipo,20,329.4671027,349.9068504,346.132371,361.7900848,0.05742450161,0.05659265832,0.4,2.100347009,2.429803912
P1|E6|nessuna|T2,1,aggregati,25,303.8497794,405.3486153,350.3980473,499.0258954,0.07274310031,0.07535470026,0.68,1.15355648,0.6923845386
P1|E6|nessuna|T2,1,consumo,355,8.401748338,16.23710479,16.96363322,24.12810619,0.1122225891,0.1022270055,0.6825396825,1.740972248,1.395113577
P1|E6|nessuna|T2,1,importazioni,355,7.653497176,24.666736,46.26165353,69.3443521,0.2103061264,0.1783929108,0.5663716814,3.771859542,4.323829918
P1|E6|nessuna|T2,1,investimento_ind,980,13.37531396,34.11367435,86.40577875,151.0020869,1.738655671,1.98509505,0.3806122449,7.251307123,7.422584183
P1|E6|nessuna|T2,1,investimento_tipo,20,289.6299505,312.8116481,272.5172304,300.9753597,0.5749673439,0.5082611886,0.45,6.438988893,6.034025571
P1|E6|nessuna|T2,1,produzione,355,24.31353547,43.92608162,36.89299464,57.02085125,0.06894366495,0.06822341417,0.6450704225,1.986868573,1.57154473
P1|E6|nessuna|T2,1,scorte,55,49.90176115,63.11510543,65.01207065,76.99248131,0.1868871924,0.2062659108,0.6545454545,5.002484459,5.347268734
P1|E6|nessuna|T2,1,stock_ind,980,13.32443514,34.18797059,167.1926166,234.4152436,0.2575204887,0.4055908393,0.3602040816,2.710484372,2.571255492
P1|E6|nessuna|T2,1,stock_tipo,20,285.1696834,308.6839289,308.0523472,326.3323134,0.04869202271,0.04820805689,0.4,1.852902754,2.162487132
P1|E6|nessuna|T3,1,aggregati,25,306.3054486,408.7590781,349.0415678,500.0557267,0.07374611531,0.07630246457,0.72,1.163262104,0.6897041427
P1|E6|nessuna|T3,1,consumo,355,8.517907641,16.57115257,17.26483179,24.86817511,0.1129090944,0.1029980808,0.6825396825,1.776789466,1.41988458
P1|E6|nessuna|T3,1,importazioni,355,7.725855809,24.731316,46.66730184,69.5797983,0.2139527863,0.1808764701,0.5619469027,3.78173465,4.361743702
P1|E6|nessuna|T3,1,investimento_ind,980,13.38296874,34.24729166,86.87008751,152.0871109,1.741093944,1.980313817,0.3806122449,7.279709227,7.462470068
P1|E6|nessuna|T3,1,investimento_tipo,20,294.9026931,318.5842863,277.5368847,306.4040804,0.5947022062,0.518407379,0.45,6.557814243,6.145169819
