caso,h,S,alfa_coperto,r_produzione,r_consumo,r_investimento_tipo,r_stock_tipo,r_importazioni,r_scorte,origine
P1|tetto100|ind|T1,1,2.136281544,1,1.067653748,1.090878567,2.487152999,7.098416956,2.269824374,3.359166713,2008
P1|tetto100|ind|T2,1,1.441933938,1,1.024861783,1.10772487,1.277745811,2.400797681,2.266354768,3.864225477,2008
P1|tetto100|ind|T3,1,2.117132789,1,1.067653748,1.090878567,2.487152999,7.098416955,2.269824374,2.976191619,2008
P1|tetto100|nessuna|T1,1,2.970578095,1,1.379264399,1.101889674,4.010785966,11.79992788,1.34350881,3.538129023,2008
P1|tetto100|nessuna|T2,1,2.122200173,1,1.346915204,1.104174038,2.850897249,6.058302936,1.658880174,2.558392957,2008
P1|tetto100|nessuna|T3,1,2.967816477,1,1.379264399,1.101889674,4.010785966,11.79992788,1.34350881,3.48289668,2008
P1|tetto110|agg+ind|T1,1,1.819908681,1,1.387616686,1.228771414,1.471080115,4.896419549,2.19704061,2.825644859,2008
P1|tetto110|agg+ind|T2,1,1.248254635,1,1.061265564,1.180718437,0.8076698099,1.585966217,2.176720022,2.933856991,2008
P1|tetto110|agg+ind|T3,1,1.835865311,1,1.389595,1.22726766,1.486895594,4.946478478,2.19863554,2.9769554,2008
P1|tetto110|agg|T1,1,1.776645064,1,1.317258479,1.148537002,1.477257742,4.898794603,2.436856863,2.594651351,2008
P1|tetto110|agg|T2,1,1.218681665,1,1.030601351,1.146516817,0.8076698099,1.585966217,2.135960168,2.772352461,2008
P1|tetto110|agg|T3,1,1.789912889,1,1.335572775,1.216822749,1.477257742,4.898794603,2.333651345,2.443613127,2008
P1|tetto110|ind|T1,1,2.14652711,1,1.133679602,1.143093513,2.461096269,7.057701074,2.25949081,3.050625481,2008
P1|tetto110|ind|T2,1,1.493838899,1,1.097934748,1.180297187,1.315689299,2.545887805,2.345960389,3.506893185,2008
P1|tetto110|ind|T3,1,2.160891494,1,1.133679602,1.143093513,2.461096269,7.057701074,2.25949081,3.337913147,2008
P1|tetto110|nessuna|T1,1,3.020925193,1,1.431328123,1.082159694,4.129807389,12.05658644,1.42618209,3.278992441,2008
P1|tetto110|nessuna|T2,1,2.209844117,1,1.405746726,1.200949663,2.740225714,6.797041514,1.886826121,2.114892001,2008
P1|tetto110|nessuna|T3,1,3.019332818,1,1.431328123,1.082159694,4.129807389,12.05658643,1.42618209,3.247144939,2008
P2|inv1.0|m0.0|S0.0|T1,1,1.827839678,1,1.270960856,1.250189531,1.636233533,5.572152949,1.319656078,2.420995128,2008
P2|inv1.0|m0.0|S0.0|T3,1,1.818503365,1,1.274154803,1.252737527,1.636233533,5.572152949,1.30891107,2.21056222,2008
P2|inv1.0|m1.0|S1.0|T1,1,1.775689046,1,1.283576544,1.261911841,1.636233533,5.572152949,1.336058417,1.21555216,2008
P2|inv1.0|m1.0|S1.0|T3,1,1.77750486,1,1.287732278,1.26380882,1.636233533,5.572152949,1.336058424,1.21555216,2008
P2|lx0.5|li0.1|T1,1,1.688941241,1,0.9365033345,1.086934202,1.467877215,6.030142506,1.306454548,2.399951185,2008
P2|lx0.5|li0.1|T3,1,1.718425913,1,0.992167688,1.085224541,1.617037485,6.049502242,1.354367464,1.982642993,2008
P2|lx0.5|li0.5|T1,1,1.815331381,1,1.255050308,1.246281901,1.717750115,5.668051206,1.306655602,1.784875898,2008
P2|lx0.5|li0.5|T3,1,1.800173861,1,1.259192931,1.249008266,1.717750115,5.668051206,1.302818836,1.444348338,2008
P2|lx2.0|li0.1|T1,1,1.852854076,1,1.014396106,1.143414372,1.712042481,6.43316002,1.469133478,2.92659522,2008
P2|lx2.0|li0.1|T3,1,1.825361394,1,1.015010135,1.143518266,1.710658834,6.431810925,1.470592806,2.379207484,2008
P2|lx2.0|li0.5|T1,1,1.912094713,1,1.314397112,1.340189155,1.717750115,5.668051206,1.431056219,2.676217565,2008
P2|lx2.0|li0.5|T3,1,1.864950176,1,1.314671902,1.334271637,1.717750115,5.668051206,1.42410693,1.77413248,2008
P2|uniformi|li0.5|T1,1,2.368167037,1,1.451206055,2.666443734,1.717750115,5.668051206,1.835843853,2.614495268,2008
P3|q25,1,1.770149989,1,1.310626925,1.169244811,1.477257742,4.898794603,2.131169947,2.685979243,2008
P3|q75,1,1.835894445,1,1.399998313,1.242310724,1.477257742,4.898794603,2.591148031,2.566266471,2008
condizionata|P1|E6|agg|T1,1,0.8721431857,1,0.4468691806,0.4845435461,0.8995443683,2.04052137,1.726710972,2.448456168,2008
persistenza,1,1,1,1,1,1,1,1,1,2008
trend_mobile,1,1.496206156,1,1.117108911,1.279407526,1.162781392,4.163063752,1.264804643,1.30296679,2008
ultimo_tasso,1,1.157787766,1,0.9048360735,1.337798348,0.8086558823,2.215213171,0.9410706058,1.093828315,2008
P0,1,1.373664217,1,1.219356958,0.9310691565,1.930228026,1.862538918,1.500328028,1.62440969,2009
P1|E6|agg+ind|T1,1,3.500354632,1,1.666183748,2.443989931,4.173147513,11.66758712,1.971075902,3.347210356,2009
P1|E6|agg+ind|T2,1,2.07450852,1,1.55275725,2.433182421,1.42224606,2.164404297,2.260861987,5.295877558,2009
P1|E6|agg+ind|T3,1,3.257311789,1,1.738129164,2.536542959,3.265668668,10.02149364,2.157799485,4.234741616,2009
P1|E6|agg|T1,1,3.774071745,1,1.6068014,2.337940096,5.006143752,13.3389083,1.927915261,3.182679058,2009
P1|E6|agg|T2,1,1.899157965,1,1.479742879,2.306345283,1.400927777,2.139804267,1.861103683,3.522207003,2009
P1|E6|agg|T3,1,3.244276024,1,1.832945653,2.523580192,3.406558812,9.698575342,2.090209927,3.632769554,2009
P1|E6|ind|T1,1,4.365651058,1,1.740276512,1.656391855,6.899720581,16.83966116,2.269351493,3.385454826,2009
P1|E6|ind|T2,1,3.383155912,1,2.110944971,1.06476632,5.393988324,10.77266551,2.140925326,3.346640836,2009
P1|E6|ind|T3,1,4.356251516,1,1.73449605,1.661888044,6.868298981,16.8135312,2.246502714,3.399964727,2009
P1|E6|nessuna|T1,1,5.410012084,1,2.188189429,2.242354441,8.420718003,21.10577634,1.777348814,3.945204953,2009
P1|E6|nessuna|T2,1,3.228885993,1,2.02042028,1.036806563,5.227921244,9.85780039,2.085976452,3.521096586,2009
P1|E6|nessuna|T3,1,5.410012084,1,2.188189429,2.242354441,8.420718003,21.10577634,1.777348814,3.945204953,2009
P1|largo|agg+ind|T1,1,3.54297813,1,1.664605186,2.443463503,4.173847464,11.67980307,1.970208662,4.185945819,2009
P1|largo|agg+ind|T2,1,2.033092787,1,1.553233224,2.434763669,1.413804012,2.154662676,2.266462586,4.502870393,2009
P1|largo|agg+ind|T3,1,3.230747598,1,1.736287906,2.535875555,3.267475343,10.03647279,2.157266936,3.681857298,2009
P1|largo|agg|T1,1,3.706728683,1,1.594147422,2.322418215,4.928337661,13.24740212,1.855381061,2.571643906,2009
P1|largo|agg|T2,1,1.921611378,1,1.479855228,2.302167612,1.421979745,2.164096985,1.845758289,3.878219285,2009
P1|largo|agg|T3,1,3.222342591,1,1.843225177,2.528730117,3.416440147,9.709977814,2.132725373,2.99667846,2009
P1|largo|ind|T1,1,4.400936718,1,1.768626848,1.715983387,6.915420833,16.86029698,2.2801005,3.44869517,2009
P1|largo|ind|T2,1,3.402836918,1,2.149979673,1.08125468,5.349282817,10.83279748,2.209567254,3.397038756,2009
