verifica,stato,obiettivo,scarto_aggregati,scarto_soluzione,quota_variabili_a_zero
riferimento,Optimal,1.9086418235102605,0.0,0.0,0.3280287474332649
molteplicita_costi_perturbati_1,Optimal,1.9085264803321524,2.3885507616106576e-13,0.0033762143681520386,0.3275154004106776
molteplicita_costi_perturbati_2,Optimal,1.9083581421789693,2.4199876439100705e-13,0.0023945565914972123,0.3280287474332649
dati_perturbati_1%,Optimal,1.9091572501629999,0.0002974368715972716,0.018769736209883765,0.3280287474332649
pesi_obiettivo_x0.8,Optimal,1.9086418235102174,2.396601322898294e-13,0.0023876603292964996,0.3280287474332649
pesi_obiettivo_x1.2,Optimal,1.9086418235102174,2.396601322898294e-13,0.0023876603292964996,0.3280287474332649
tolleranze_1e-06,Optimal,1.9085401500579755,0.0006390408363851342,0.019356830763549666,0.3290554414784394
tolleranze_1e-09,Optimal,1.9086418235102587,8.808311297089072e-14,0.0031991935047248066,0.3280287474332649
algoritmo_ipm,Optimal,1.9086418235102387,4.3818273007954445e-13,0.003199193505273678,0.3280287474332649
scala_milioni,Optimal,1.9076966272742992,0.005056256867456824,,0.337782340862423
