verifica,stato,obiettivo,scarto_aggregati,scarto_soluzione,quota_variabili_a_zero
riferimento,Optimal,2.3357608000061365,0.0,0.0,0.330082135523614
molteplicita_costi_perturbati_1,Optimal,2.335694997776013,0.00013326106827494974,0.005215092267946352,0.3290554414784394
molteplicita_costi_perturbati_2,Optimal,2.335458690416855,0.00018634995476267185,0.0058940463673099255,0.3290554414784394
dati_perturbati_1%,Optimal,2.3361493212216087,0.002100166098287719,0.00644690516797834,0.33059548254620125
pesi_obiettivo_x0.8,Optimal,2.259012095834804,0.008402750981773448,0.010194512750792632,0.3259753593429158
pesi_obiettivo_x1.2,Optimal,2.4126257961286157,0.005300162366615945,0.009911799414071207,0.33213552361396304
tolleranze_1e-06,Optimal,2.335608441193951,0.006177874855734886,0.027769003762320787,0.3311088295687885
tolleranze_1e-09,Optimal,2.3357608000061445,3.904970097797757e-14,0.003262556585200384,0.330082135523614
algoritmo_ipm,Optimal,2.3357608000061436,3.1796673366561114e-14,0.0044821397144700304,0.330082135523614
scala_milioni,Optimal,2.335351219182971,0.002232650131490344,,0.34291581108829566
