caso,h,S,alfa_coperto,r_produzione,r_consumo,r_investimento_tipo,r_stock_tipo,r_importazioni,r_scorte
P1|largo|ind|T2,4,1.086343915,1,1.117694622,1.059928547,1.129116307,0.7608808961,1.258958344,1.363953912
P1|largo|agg|T2,4,1.090965088,1,1.307138734,1.108885012,0.8479322352,0.4166284538,1.831393273,1.266780163
P1|stretto|agg+ind|T3,4,1.093636816,1,1.029102886,1.049630039,1.161489023,1.003538778,1.270288954,1.477016167
P1|tetto110|agg+ind|T3,4,1.094495493,1,1.034174295,1.081667214,1.123799574,0.9846364149,1.266551609,1.463838076
P1|tetto100|ind|T3,4,1.097296281,1,0.9800594439,1.042848697,1.231741283,1.191875243,1.099364019,1.398397146
P2|lx0.5|li0.1|T3,4,1.105258106,1,0.9975552599,1.011005017,1.276551425,1.116581307,1.349362944,1.365069194
P1|tetto100|ind|T1,4,1.10999914,1,0.9858236847,1.034433887,1.310516098,1.224767237,1.078571282,1.308267219
P1|tetto100|agg+ind|T1,4,1.112201948,1,1.019230066,1.067270554,1.259134248,1.044997962,1.168793929,1.429708402
P2|lx0.5|li0.1|T1,4,1.113399391,1,1.000596317,1.003016682,1.32287845,1.175160475,1.350324405,1.254150672
P1|stretto|ind|T3,4,1.119451009,1,1.016040947,1.01037536,1.296548369,1.223404473,1.19216309,1.405356828
P1|tetto110|ind|T3,4,1.120428894,1,1.016149853,1.040115493,1.281790593,1.214401305,1.166047649,1.348973161
P1|stretto|agg+ind|T1,4,1.120861127,1,1.02829104,1.010099296,1.330558445,1.080943726,1.241994024,1.460765267
P1|stretto|agg|T3,4,1.127490168,1,1.169142341,1.059733285,1.062966317,0.8889670963,1.696499147,1.450251007
P1|tetto110|agg+ind|T1,4,1.128865424,1,1.036707958,1.056814164,1.294894483,1.061995673,1.243227062,1.469379402
P1|tetto110|agg|T3,4,1.129423534,1,1.175499134,1.075104141,1.043991027,0.8782819367,1.783327864,1.368995187
P2|lx2.0|li0.1|T3,4,1.130592671,1,0.9337415748,1.133546521,1.271772068,1.201063708,1.333877672,1.385031488
P2|lx2.0|li0.1|T1,4,1.135402525,1,0.9361814317,1.126122284,1.303898339,1.23827953,1.320413373,1.321662423
P1|E6|agg+ind|T3,4,1.137047995,1,1.080428953,1.172562746,1.132720134,0.9875679716,1.28963273,1.427360484
P1|stretto|ind|T1,4,1.138114226,1,1.019543506,1.001183748,1.397100871,1.278437602,1.141582062,1.351060244
P1|tetto110|ind|T1,4,1.149435641,1,1.021651787,1.043210866,1.39736777,1.27679567,1.11750484,1.338969645
P1|largo|agg+ind|T3,4,1.15762529,1,1.105822895,1.201109943,1.136315872,0.989596687,1.355437482,1.431014423
P1|E6|ind|T3,4,1.167100351,1,1.062185641,1.131726429,1.289312825,1.216067137,1.140949889,1.448199133
ultimo_tasso,4,1.175052355,1,1.311520325,1.026568231,1.246900491,0.4855727151,2.319071021,1.19469736
P1|largo|ind|T3,4,1.184320159,1,1.083587168,1.167175231,1.291195074,1.217428833,1.221502219,1.360688601
P1|E6|agg+ind|T1,4,1.184594308,1,1.08406266,1.153616027,1.333185142,1.073339141,1.336553128,1.449842057
P1|E6|agg|T3,4,1.201965854,1,1.238335396,1.1708104,1.11736518,0.9191743237,1.846405137,1.430227799
P1|largo|agg+ind|T1,4,1.212671712,1,1.108558737,1.181997648,1.372458491,1.088899872,1.42419369,1.418268537
P1|E6|ind|T1,4,1.217113769,1,1.077899009,1.13873105,1.481534644,1.310036092,1.153557377,1.342726886
P1|tetto100|agg|T1,4,1.233274829,1,1.152648599,1.041064372,1.458997546,1.121618082,1.949501401,1.474491009
P2|uniformi|li0.5|T1,4,1.238886924,1,1.087622915,1.591366847,1.06158172,0.9399304354,1.320117207,1.257494943
P1|largo|agg|T3,4,1.247710995,1,1.282866696,1.225252752,1.171903478,0.9675084718,1.892241108,1.390631244
P1|stretto|agg|T1,4,1.249257937,1,1.151172181,1.022906252,1.590951977,1.176524877,1.685060653,1.538769837
P1|largo|ind|T1,4,1.249276595,1,1.095099889,1.173178722,1.533167787,1.331994572,1.232683838,1.346516095
P1|tetto110|agg|T1,4,1.264486532,1,1.163567292,1.052865462,1.581418371,1.191285017,1.726090786,1.556799802
P3|q75,4,1.319469072,1,1.213898493,1.287231601,1.455604748,1.162169037,1.836487376,1.399356433
P1|E6|agg|T1,4,1.348343811,1,1.240673492,1.257866154,1.570825534,1.199336146,1.821068658,1.472595269
P1|largo|agg|T1,4,1.369260272,1,1.305683301,1.254348659,1.570204674,1.19693377,1.912243337,1.438084116
P3|q25,4,1.370341689,1,1.281783893,1.228212191,1.613808243,1.231638349,1.931225017,1.497122586
P1|stretto|nessuna|T1,4,1.607048759,1,1.365391598,1.211381388,2.110771838,2.207155012,2.326571621,1.496368274
P1|tetto110|nessuna|T1,4,1.607750553,1,1.370810172,1.203768781,2.118526629,2.204388183,2.309747757,1.514906702
P1|E6|nessuna|T1,4,1.660598358,1,1.408642538,1.453352434,2.024671944,2.078976311,2.269003118,1.514353806
P1|largo|nessuna|T1,4,1.669440836,1,1.438472086,1.408714287,2.0899847,2.07190554,2.283586486,1.518362119
P1|tetto100|nessuna|T1,4,1.679857517,1,1.267252772,1.120808202,2.736520665,2.259480647,2.371901203,1.43183934
