verifica,stato,obiettivo,scarto_aggregati,scarto_soluzione,quota_variabili_a_zero
riferimento,Optimal,2.2808861405856695,0.0,0.0,0.3172338090010977
molteplicita_costi_perturbati_1,Optimal,2.2806984317844377,0.00030333616215438494,0.006529651792448083,0.31613611416026344
molteplicita_costi_perturbati_2,Optimal,2.280746254081964,0.0002667217901382656,0.0127182314643962,0.31613611416026344
dati_perturbati_1%,Optimal,2.2814369898129017,0.0006893541016919562,0.01098965222483133,0.31668496158068055
pesi_obiettivo_x0.8,Optimal,2.2039393353017602,0.0006568658122062012,0.00826583430309854,0.31833150384193193
pesi_obiettivo_x1.2,Optimal,2.3578650683188633,0.006171296403969557,0.048861065970530033,0.31668496158068055
tolleranze_1e-06,Optimal,2.280784447873737,0.003535191668445037,0.02631025652822184,0.3238199780461032
tolleranze_1e-09,Optimal,2.2808864662268404,5.2566851816507024e-05,0.0009332410412835091,0.31613611416026344
algoritmo_ipm,Optimal,2.280886466226848,5.256685182016405e-05,0.002277077324398464,0.31613611416026344
scala_milioni,Optimal,2.279682946112893,0.02637407511357591,,0.33260153677277715
