caso,origine,H,secondi,stato
P1|stretto|agg+ind|T2,2009,5,5.176994085,Optimal
P1|stretto|agg+ind|T3,2009,5,5.150931358,Optimal
P1|stretto|ind|T1,2009,5,4.893219471,Optimal
P1|stretto|ind|T2,2009,5,5.109701395,Optimal
P1|stretto|ind|T3,2009,5,5.149301291,Optimal
P1|stretto|nessuna|T1,2009,5,4.550388336,Optimal
P1|stretto|nessuna|T2,2009,5,4.83981967,Optimal
P1|stretto|nessuna|T3,2009,5,4.679548979,Optimal
P1|largo|agg|T1,2009,5,4.644946575,Optimal
P1|largo|agg|T2,2009,5,4.715538025,Optimal
P1|largo|agg|T3,2009,5,4.8982687,Optimal
P1|largo|agg+ind|T1,2009,5,5.008732796,Optimal
P1|largo|agg+ind|T2,2009,5,5.157118082,Optimal
P1|largo|agg+ind|T3,2009,5,5.341508389,Optimal
P1|largo|ind|T1,2009,5,4.969543695,Optimal
P1|largo|ind|T2,2009,5,5.192994833,Optimal
P1|largo|ind|T3,2009,5,5.205944538,Optimal
P1|largo|nessuna|T1,2009,5,4.688458443,Optimal
P1|largo|nessuna|T2,2009,5,4.975203037,Optimal
P1|largo|nessuna|T3,2009,5,4.805126905,Optimal
P1|tetto100|agg|T1,2009,5,4.635006905,Optimal
P1|tetto100|agg|T2,2009,5,4.643865585,Optimal
P1|tetto100|agg|T3,2009,5,4.561295271,Optimal
P1|tetto100|agg+ind|T1,2009,5,4.879259586,Optimal
P1|tetto100|agg+ind|T2,2009,5,4.921343088,Optimal
P1|tetto100|agg+ind|T3,2009,5,4.981618166,Optimal
P1|tetto100|ind|T1,2009,5,4.750524521,Optimal
P1|tetto100|ind|T2,2009,5,4.837506771,Optimal
P1|tetto100|ind|T3,2009,5,4.812878847,Optimal
P1|tetto100|nessuna|T1,2009,5,4.479664564,Optimal
P1|tetto100|nessuna|T2,2009,5,4.47343874,Optimal
P1|tetto100|nessuna|T3,2009,5,4.466337204,Optimal
P1|tetto110|agg|T1,2009,5,4.539555788,Optimal
P1|tetto110|agg|T2,2009,5,4.526588678,Optimal
P1|tetto110|agg|T3,2009,5,4.669440508,Optimal
P1|tetto110|agg+ind|T1,2009,5,4.915329933,Optimal
P1|tetto110|agg+ind|T2,2009,5,5.039958,Optimal
P1|tetto110|agg+ind|T3,2009,5,5.094606161,Optimal
P1|tetto110|ind|T1,2009,5,4.79690361,Optimal
P1|tetto110|ind|T2,2009,5,4.978844404,Optimal
P1|tetto110|ind|T3,2009,5,5.152068377,Optimal
P1|tetto110|nessuna|T1,2009,5,4.508304834,Optimal
P1|tetto110|nessuna|T2,2009,5,4.805924416,Optimal
P1|tetto110|nessuna|T3,2009,5,4.701192379,Optimal
P2|lx0.5|li0.1|T1,2009,5,4.942882299,Optimal
P2|lx0.5|li0.1|T3,2009,5,4.93735528,Optimal
P2|lx0.5|li0.5|T1,2009,5,4.932498693,Optimal
P2|lx0.5|li0.5|T3,2009,5,4.977174997,Optimal
P2|lx2.0|li0.1|T1,2009,5,4.844752073,Optimal
P2|lx2.0|li0.1|T3,2009,5,4.984762192,Optimal
P2|lx2.0|li0.5|T1,2009,5,5.00799799,Optimal
P2|lx2.0|li0.5|T3,2009,5,5.050998211,Optimal
P2|inv1.0|m0.0|S0.0|T1,2009,5,5.058443069,Optimal
P2|inv1.0|m0.0|S0.0|T3,2009,5,4.983029842,Optimal
P2|inv1.0|m1.0|S1.0|T1,2009,5,4.942304373,Optimal
P2|inv1.0|m1.0|S1.0|T3,2009,5,4.912019491,Optimal
P2|uniformi|li0.5|T1,2009,5,4.85934639,Optimal
P3|q25,2009,5,4.739090681,Optimal
P3|q75,2009,5,4.660726309,Optimal
P1|E6|agg|T1,2010,5,4.880471945,Optimal
P1|E6|agg|T2,2010,5,5.208729982,Optimal
P1|E6|agg|T3,2010,5,5.110325813,Optimal
P1|E6|agg+ind|T1,2010,5,5.360444546,Optimal
P1|E6|agg+ind|T2,2010,5,5.8802104,Optimal
P1|E6|agg+ind|T3,2010,5,5.599107027,Optimal
P1|E6|ind|T1,2010,5,5.591562748,Optimal
P1|E6|ind|T2,2010,5,5.672989607,Optimal
P1|E6|ind|T3,2010,5,6.079287767,Optimal
P1|E6|nessuna|T1,2010,5,5.185607433,Optimal
P1|E6|nessuna|T2,2010,5,4.907097816,Optimal
P1|E6|nessuna|T3,2010,5,4.940135241,Optimal
P1|stretto|agg|T1,2010,5,4.939987421,Optimal
P1|stretto|agg|T2,2010,5,4.970656395,Optimal
P1|stretto|agg|T3,2010,5,4.956897736,Optimal
P1|stretto|agg+ind|T1,2010,5,5.560322762,Optimal
P1|stretto|agg+ind|T2,2010,5,5.742694855,Optimal
P1|stretto|agg+ind|T3,2010,5,5.614814043,Optimal
P1|stretto|ind|T1,2010,5,5.356669188,Optimal
P1|stretto|ind|T2,2010,5,5.32700181,Optimal
P1|stretto|ind|T3,2010,5,5.525013924,Optimal
P1|stretto|nessuna|T1,2010,5,4.703822136,Optimal
P1|stretto|nessuna|T2,2010,5,4.883239985,Optimal
P1|stretto|nessuna|T3,2010,5,4.933920383,Optimal
P1|largo|agg|T1,2010,5,4.860897779,Optimal
P1|largo|agg|T2,2010,5,4.991883516,Optimal
P1|largo|agg|T3,2010,5,4.948526621,Optimal
P1|largo|agg+ind|T1,2010,5,5.374162912,Optimal
P1|largo|agg+ind|T2,2010,5,5.424398184,Optimal
P1|largo|agg+ind|T3,2010,5,5.695472956,Optimal
P1|largo|ind|T1,2010,5,5.395231247,Optimal
P1|largo|ind|T2,2010,5,5.474427938,Optimal
P1|largo|ind|T3,2010,5,5.632092953,Optimal
P1|largo|nessuna|T1,2010,5,4.833614111,Optimal
P1|largo|nessuna|T2,2010,5,4.94494915,Optimal
P1|largo|nessuna|T3,2010,5,4.95021987,Optimal
P1|tetto100|agg|T1,2010,5,4.89028883,Optimal
P1|tetto100|agg|T2,2010,5,4.928862333,Optimal
P1|tetto100|agg|T3,2010,5,4.804995298,Optimal
P1|tetto100|agg+ind|T1,2010,5,5.354769945,Optimal
P1|tetto100|agg+ind|T2,2010,5,5.385497808,Optimal
P1|tetto100|agg+ind|T3,2010,5,5.411221027,Optimal
P1|tetto100|ind|T1,2010,5,5.340811014,Optimal
P1|tetto100|ind|T2,2010,5,5.332425117,Optimal
P1|tetto100|ind|T3,2010,5,5.440331697,Optimal
P1|tetto100|nessuna|T1,2010,5,5.006960869,Optimal
P1|tetto100|nessuna|T2,2010,5,4.800839663,Optimal
P1|tetto100|nessuna|T3,2010,5,4.786847115,Optimal
P1|tetto110|agg|T1,2010,5,4.737137318,Optimal
P1|tetto110|agg|T2,2010,5,4.92199111,Optimal
P1|tetto110|agg|T3,2010,5,4.85837245,Optimal
P1|tetto110|agg+ind|T1,2010,5,5.364705563,Optimal
P1|tetto110|agg+ind|T2,2010,5,5.673179626,Optimal
