,phi_R
111CA,0
113FF,0
211,0
212,0
213,0
22,0
23,0.7441721712
321,0.006277961805
327,0
331,0
332,0
333,0
334,0.0004709356571
335,0.01019416358
3361MV,0
3364OT,0
337,0.0008374156609
339,0
311FT,0
313TT,0.0008214817477
315AL,0
322,0
323,0
324,0
325,0
326,5.488347883e-05
42,0.004307467871
441,7.081739204e-06
445,1.062260881e-05
452,0.0002744173942
4A0,0.008823847049
481,7.081739204e-06
482,5.842434844e-05
483,0
484,0.001156093925
485,0
486,0
487OS,0
493,0
511,0
512,0
513,0
514,0
521CI,0
523,0
524,0.01220714795
525,0
HS,0
ORE,0.1812163949
532RL,0
5411,0.02635469245
5415,0
5412OP,0.002747714811
55,0
561,0
562,0
61,0
621,0
622,0
623,0
624,0
711AS,0
713,0
721,0
722,0
81,0
GFGD,0
GFGN,0
GFE,0
GSLG,0
GSLE,0
