famiglia,vincoli_con_duale_non_nullo
accumulazione,980
banda_import,310
bilancio,355
capacita,203
import_totale,5
lavoro,5
o2,315
quote,355
scorte,55
scorte_massime,6
scorte_minime,42
terminale,2
terminale_scorte,7
