famiglia,vincoli_con_duale_non_nullo
accumulazione,802
banda_import,1
bilancio,627
capacita,19
distanza,3976
import_totale,1
lavoro,9
quote,707
scorte,110
scorte_minime,7
terminale,1
terminale_scorte,4
