famiglia,vincoli_con_duale_non_nullo
accumulazione,980
banda_import,345
bilancio,355
capacita,133
import_totale,5
lavoro,5
o2,315
quote,355
scorte,55
scorte_minime,38
terminale,4
terminale_scorte,8
var_inv,17
