famiglia,vincoli_con_duale_non_nullo
accumulazione,307
banda_import,3
bilancio,205
capacita,122
distanza,1801
import_totale,1
lavoro,1
quote,337
scorte,55
scorte_minime,43
terminale_scorte,1
