famiglia,vincoli_con_duale_non_nullo
accumulazione,12
bilancio,174
capacita,2
distanza,1779
import_totale,4
lavoro,4
quote,339
scorte,55
scorte_minime,4
tempi_costruzione,37
terminale_scorte,7
var_inv,14
