famiglia,vincoli_con_duale_non_nullo
accumulazione,1959
banda_import,690
bilancio,710
capacita,413
import_totale,10
inv_max,19
inv_min,17
lavoro,10
o2,630
quote,710
scorte,110
scorte_minime,39
terminale,3
terminale_scorte,6
