industria_io,anno,K_cap,K_somma,x_reale,kappa,u_implicito,serie_g17,u,metodo_g17,crescita_Kcap,crescita_cap_g17,scarto_u
322,2016,117725.1392,116483.945,174597.221,0.5266634119,0.7810903322,G322,0.8685195833,fisico,1.040833601,0.936192754,-0.08742925114
323,2012,50347.22054,50347.22054,83081,0.386547627,0.6378656667,G323,0.6378656667,indagine+capitale,1,1,0
323,2013,49499.43986,49315,82722.47182,0.386547627,0.645990647,G323,0.6757861667,indagine+capitale,0.983161321,0.9468207894,-0.02979551962
323,2014,48237.96137,47980.10069,81533.38845,0.386547627,0.6533555094,G323,0.6950229167,indagine+capitale,0.9581057475,0.903949681,-0.04166740724
323,2015,47512.04984,47131.72378,80757.59637,0.386547627,0.6570261091,G323,0.7139936667,indagine+capitale,0.943687642,0.8715104443,-0.05696755758
323,2016,46463.89936,46036.7913,84211.99313,0.386547627,0.7005857571,G323,0.7498105,indagine+capitale,0.9228692043,0.8437407094,-0.04922474295
324,2012,204134.4036,204134.4036,833174,0.2033147902,0.82982875,G324,0.82982875,fisico,1,1,0
324,2013,210236.5725,210490,863205.3806,0.2033147902,0.8347853981,G324,0.8412241667,fisico,1.029892898,1.025812806,-0.006438768575
324,2014,225509.1276,225761.0961,834613.092,0.2033147902,0.752471474,G324,0.833786,fisico,1.104709072,0.9975134772,-0.08131452596
324,2015,230269.2545,230853.6582,816583.04,0.2033147902,0.72099686,G324,0.84719875,fisico,1.128027664,0.9603283152,-0.12620189
324,2016,235044.3407,235980.7793,854853.3907,0.2033147902,0.7394534039,G324,0.8234778333,fisico,1.151419538,1.052289956,-0.08402442948
325,2012,765261.2507,765261.2507,794029,0.6848088716,0.71055225,G325,0.71055225,misto,1,1,0
325,2013,784042.3225,782680,823247.9886,0.6848088716,0.7190524159,G325,0.6940465833,misto,1.024542039,0.989151197,0.0250058326
325,2014,805345.4595,802529.8447,810591.7251,0.6848088716,0.6892699252,G325,0.7172540833,misto,1.052379771,0.9470994955,-0.02798415816
325,2015,835065.0177,831149.1071,798733.1198,0.6848088716,0.6550142982,G325,0.73447325,misto,1.091215604,0.9211404007,-0.07945895184
325,2016,873622.2946,868366.0099,802014.8884,0.6848088716,0.628677764,G325,0.7474756667,misto,1.141600066,0.9003316322,-0.1187979027
326,2012,93897.00331,93897.00331,216486,0.323134507,0.7450088333,G326,0.7450088333,indagine+capitale,1,1,0
326,2013,94111.27319,93881,219765.4445,0.323134507,0.7545727113,G326,0.78901625,indagine+capitale,1.002281967,0.9555894834,-0.03444353872
326,2014,95778.4905,95397.03821,224507.892,0.323134507,0.7574377778,G326,0.8171426667,indagine+capitale,1.020037777,0.9473183838,-0.05970488885
326,2015,98937.00668,98392.26956,229500.9016,0.323134507,0.7495644269,G326,0.8464759167,indagine+capitale,1.05367587,0.9305587056,-0.09691148974
326,2016,101272.1469,100534.1971,229377.9193,0.323134507,0.7318885122,G326,0.8451555,indagine+capitale,1.078545037,0.943849426,-0.1132669878
327,2012,91344.7279,91344.7279,99294,0.4953731657,0.538483,G327,0.538483,indagine+capitale,1,1,0
327,2013,90505.56884,90251,102935.0132,0.4953731657,0.5634044844,G327,0.5854721667,indagine+capitale,0.9908132732,0.9675949831,-0.02206768229
327,2014,90299.97921,89789.50343,107069.5856,0.4953731657,0.5873689011,G327,0.6300815,indagine+capitale,0.9885625726,0.9323397136,-0.0427125989
327,2015,91369.86083,90648.3227,109231.8949,0.4953731657,0.5922144245,G327,0.6604788333,indagine+capitale,1.000275144,0.8955677918,-0.0682644088
327,2016,92971.61641,92113.1673,111813.9082,0.4953731657,0.5957690297,G327,0.6747775,indagine+capitale,1.017810426,0.8883467079,-0.07900847031
331,2012,169217.1972,169217.1972,269218,0.4705303224,0.7485955,G331,0.7485955,fisico,1,1,0
331,2013,170946.0324,170406,278329.3753,0.4705303224,0.7661038334,G331,0.7621680833,fisico,1.010216663,1.014661667,0.003935750026
331,2014,172297.5086,171287.4457,278401.8351,0.4705303224,0.7602925097,G331,0.7484674167,fisico,1.0182033,1.040200795,0.01182509305
331,2015,171914.0694,170543.9547,263648.9986,0.4705303224,0.7216096318,G331,0.6898614167,fisico,1.015937341,1.050668539,0.03174821516
331,2016,170840.2954,169139.9822,249889.7303,0.4705303224,0.6882491925,G331,0.6661390833,fisico,1.009591804,1.039822345,0.02211010915
332,2012,169896.5821,169896.5821,343079,0.4051955908,0.81822775,G332,0.81822775,indagine+capitale,1,1,0
332,2013,175033.7932,174466,348539.9126,0.4051955908,0.8068546833,G332,0.826955,indagine+capitale,1.030237284,1.006916347,-0.02010031666
