anno,produzione_lorda,consumo_privato,consumo_pubblico_e_inv_pubblici,investimento_E,investimento_S,investimento_N,investimento_R,investimento_totale_FA,domanda_di_prodotti_per_investimento,ammortamento,investimento_netto,variazione_scorte,esportazioni,importazioni,residuo_materiale,gamma,prodotto_finale_lordo,prodotto_netto,surplus_economico
2012,29244.35969,11064.80208,3142.018,979.968,461.451,655.697,432.014,2529.13,2649.737,2094.259456,434.8705442,11.665132,1789.203,2359.7,56.38118491,0.9999467778,16354.10639,14259.84694,3195.044861
2013,29889.68572,11221.33079,3066.668636,1040.300973,467.9013577,694.3590635,486.640999,2689.202393,2798.883493,2154.08025,535.1221425,10.47219886,1813.000954,2314.001983,88.49588002,1.01409257,16684.84997,14530.76972,3309.438929
2014,30752.91708,11485.59399,3043.148649,1120.873196,519.2513389,736.3419464,508.1175307,2884.584012,3011.469661,2224.171458,660.4125539,40.76789166,1861.772477,2400.943252,35.8332713,1.037974527,17077.64269,14853.47123,3367.877239
2015,31442.03483,11874.06879,3099.013496,1162.908353,515.2587226,771.8410725,562.3000943,3012.308243,3133.907347,2308.28134,704.0269029,73.02508363,1786.331162,2449.018461,73.01795842,1.073081719,17590.34538,15282.06404,3407.995246
2016,32023.45211,12189.66526,3153.230443,1160.192713,494.6712135,845.5307864,602.4324513,3102.827164,3213.322113,2392.533367,710.2937974,-41.08579565,1792.891133,2422.09463,85.04250619,1.10160276,17970.97103,15578.43767,3388.772403
