anno,prodotto,rho,peso,classe
2013,81,1,0.04536173036,=1
2013,GFE,1.2,0.0006501963476,"=1,2"
2013,GSLE,1.2,0.005382589025,"=1,2"
2014,111CA,1.2,0.005672022141,"=1,2"
2014,113FF,1.2,0.0004970497194,"=1,2"
2014,212,1.2,5.519437654e-05,"=1,2"
2014,22,1.2,0.02119542904,"=1,2"
2014,321,1.2,0.0003962525308,"=1,2"
2014,327,1.2,0.0009594248729,"=1,2"
2014,331,1.2,4.811414616e-05,"=1,2"
2014,332,1.2,0.001350488743,"=1,2"
2014,333,1.2,0.0005372864527,"=1,2"
2014,334,1.2,0.006833740525,"=1,2"
2014,335,1.2,0.00352258621,"=1,2"
2014,3361MV,1.2,0.01693305193,"=1,2"
2014,3364OT,1.2,0.001551949438,"=1,2"
2014,337,1.2,0.003487251849,"=1,2"
2014,339,1.2,0.007111650167,"=1,2"
2014,311FT,1.2,0.04537164501,"=1,2"
2014,313TT,1.2,0.001845992174,"=1,2"
2014,315AL,1.2,0.01158760581,"=1,2"
2014,322,1.2,0.001747626516,"=1,2"
2014,323,1.2,0.0004521045835,"=1,2"
2014,324,1.2,0.02546765488,"=1,2"
2014,325,1.2,0.02100462492,"=1,2"
2014,326,1.2,0.00279051932,"=1,2"
2014,42,1.2,0.043089127,"=1,2"
2014,441,1.2,0.01504920729,"=1,2"
2014,445,1,0.01676839409,=1
2014,452,1,0.01770461335,=1
2014,4A0,1,0.05918525451,=1
2014,481,1.2,0.01074548607,"=1,2"
2014,482,1.2,0.0006842142263,"=1,2"
2014,483,1.2,0.001703365885,"=1,2"
2014,484,1.2,0.006763859896,"=1,2"
2014,485,1.2,0.003282295073,"=1,2"
2014,486,1.2,0.0002025684675,"=1,2"
2014,487OS,1.2,0.001511831381,"=1,2"
2014,493,1.2,2.18360098e-05,"=1,2"
2014,511,1.2,0.006418381134,"=1,2"
2014,512,1.2,0.002312972764,"=1,2"
2014,513,1.2,0.02827492771,"=1,2"
2014,514,1.2,0.00270537678,"=1,2"
2014,521CI,1.2,0.01685619448,"=1,2"
2014,523,1.2,0.01680435393,"=1,2"
2014,524,1.2,0.02865410874,"=1,2"
2014,525,1.2,0.01207115988,"=1,2"
2014,HS,1.066912217,0.1507361248,"1-1,2"
2014,ORE,1.2,0.0004726880671,"=1,2"
2014,532RL,1.2,0.006902586644,"=1,2"
2014,5411,1.2,0.007531504436,"=1,2"
2014,5412OP,1.2,0.005261153213,"=1,2"
2014,561,1,0.00450827804,=1
2014,562,1.2,0.002047209426,"=1,2"
2014,61,1,0.02668275976,=1
2014,621,1.2,0.07701403741,"=1,2"
2014,622,1.2,0.07646652045,"=1,2"
2014,623,1,0.01865450574,=1
2014,624,1,0.01557729784,=1
2014,711AS,1.2,0.005913214957,"=1,2"
2014,713,1,0.01501810105,=1
2014,721,1.126258077,0.01171468109,"1-1,2"
2014,722,1,0.05196467258,=1
2014,81,1,0.04635625348,=1
2014,GFE,1.2,0.000626831802,"=1,2"
2014,GSLE,1.2,0.005322785197,"=1,2"
2015,111CA,1.2,0.006233854909,"=1,2"
2015,113FF,1.2,0.0004501761798,"=1,2"
2015,212,1.2,3.219493018e-05,"=1,2"
2015,22,1.2,0.0210056097,"=1,2"
2015,321,1.2,0.0004014114398,"=1,2"
2015,327,1.2,0.0009209717202,"=1,2"
2015,331,1.2,5.104033887e-05,"=1,2"
2015,332,1.2,0.00136498797,"=1,2"
2015,333,1.2,0.0005686339588,"=1,2"
2015,334,1.2,0.006397444443,"=1,2"
2015,335,1.2,0.003484849795,"=1,2"
2015,3361MV,1.2,0.01626390264,"=1,2"
2015,3364OT,1.2,0.001617287859,"=1,2"
2015,337,1.2,0.003536680574,"=1,2"
2015,339,1.2,0.007086661478,"=1,2"
2015,311FT,1.2,0.04653952556,"=1,2"
2015,313TT,1.2,0.00181401648,"=1,2"
2015,315AL,1.2,0.01125464488,"=1,2"
2015,322,1.2,0.001723659497,"=1,2"
2015,323,1.2,0.0004083180181,"=1,2"
2015,324,1.2,0.02480562461,"=1,2"
2015,325,1.2,0.02252007666,"=1,2"
2015,326,1.2,0.002842863353,"=1,2"
2015,42,1.2,0.04233401502,"=1,2"
2015,441,1.2,0.01766810285,"=1,2"
2015,445,1,0.01635878323,=1
2015,452,1,0.01783668529,=1
2015,4A0,1.2,0.06048943111,"=1,2"
2015,481,1.2,0.01057233954,"=1,2"
2015,482,1.2,0.0006408701682,"=1,2"
2015,483,1.2,0.001665427167,"=1,2"
2015,484,1.2,0.006460350085,"=1,2"
2015,485,1.2,0.003301579785,"=1,2"
2015,486,1.2,0.0002315014109,"=1,2"
2015,487OS,1.2,0.001471988754,"=1,2"
2015,493,1,2.057793087e-05,=1
2015,511,1.2,0.006455150923,"=1,2"
2015,512,1.2,0.002254922578,"=1,2"
2015,513,1.2,0.02867069978,"=1,2"
