famiglia,vincoli_con_duale_non_nullo
accumulazione,1829
banda_import,687
bilancio,710
capacita,415
import_totale,10
lavoro,10
o2,630
quote,710
regola_inv,40
scorte,110
scorte_minime,84
terminale,1
terminale_scorte,4
