famiglia,vincoli_con_duale_non_nullo
accumulazione,980
banda_import,342
bilancio,355
capacita,145
import_totale,5
inv_max,8
inv_min,8
lavoro,5
o2,315
quote,355
scorte,55
scorte_minime,40
tempi_costruzione,159
terminale,4
terminale_scorte,6
