anno,produzione_lorda,consumo_privato,consumo_pubblico_e_inv_pubblici,investimento_E,investimento_S,investimento_N,investimento_R,investimento_totale_FA,domanda_di_prodotti_per_investimento,ammortamento,investimento_netto,variazione_scorte,esportazioni,importazioni,residuo_materiale,gamma,prodotto_finale_lordo,prodotto_netto,surplus_economico
2012,29640.52633,12065.26349,3142.018,755.7864028,349.6104661,531.8270571,439.6801744,2076.9041,2169.767125,2094.259456,-17.35535543,-278.913443,1789.203,2359.7,0,1.09036034,16527.63817,14433.37872,2368.115226
2013,30357.07141,12344.90501,3066.668636,642.4184424,317.0386608,452.0529985,457.4045063,1868.914608,1935.504032,1978.63469,-109.720082,75.60640805,1813.000954,2314.001983,0,1.115632065,16921.68305,14943.04836,2598.143357
2014,31126.33369,12812.70461,3043.148649,675.2214811,364.5944599,407.7251325,388.7938304,1836.334904,1923.405062,1948.109419,-111.7745154,60.57754288,1861.772477,2400.943252,0,1.157907987,17300.66509,15352.55567,2539.851059
2015,31835.59707,13242.95887,3099.013496,776.5047032,419.2836289,468.8839023,330.4747558,1995.14699,2060.19739,1946.234247,48.9127429,150.5701438,1786.331162,2449.018461,0,1.196790866,17890.0526,15943.81836,2700.859483
2016,32450.96514,13632.25455,3153.230443,892.9804087,482.1761732,539.2164877,280.9035425,2195.276612,2101.570092,2005.339402,189.9372099,112.7945879,1792.891133,2422.09463,0,1.231972241,18370.64617,16365.30677,2733.052224
