,x_reale,q_reale
111CA,436048.8367,429353.7339
113FF,51657.45506,59996.864
211,385427.7226,337136.0125
212,116082.9032,95596.55847
213,130536.3462,149577.9695
22,467807.517,599902.9478
23,1295417.935,1383298.885
311FT,942669.7447,944601.7283
313TT,51987.21063,48628.99181
315AL,17539.19044,17948.2824
321,90208.27436,87894.69059
322,177498.468,175374.5691
323,80757.59637,66158.85824
324,816583.04,822885.782
325,798733.1198,747788.6638
326,229500.9016,225395.7358
327,109231.8949,104592.1699
331,263648.9986,259665.6505
332,347947.8634,331089.6581
333,365714.0668,348014.4344
334,357910.8663,307196.1563
335,127921.5545,124131.3593
3361MV,612077.7708,594009.5053
3364OT,312476.085,288190.4582
337,71616.70546,68718.85812
339,162209.9672,147969.5758
42,1834793.204,1844690.912
441,309351.7,250873.0701
445,211007.3652,196279.9011
452,226817.0894,219111.1842
481,221836.6338,218406.0475
482,81248.24659,79120.88302
483,50448.54095,49060.08096
484,332248.169,315200.7851
485,63650.92971,79678.84892
486,41175.425,43551.39721
487OS,209480.3452,230621.6576
493,111882.1372,116533.841
4A0,869792.6879,859564.7859
511,331286.9921,255562.0237
512,145215.2306,144329.4891
513,835600.1965,719642.0647
514,287787.7374,242004.2665
521CI,796987.1293,725697.2243
523,457051.3089,459660.6828
524,923249.6697,927501.0921
525,149522.8717,172099.66
532RL,330832.4745,418460.8879
5411,297423.745,297089.8968
5412OP,1215558.175,1748058.012
5415,414313.1013,474908.8549
55,536854.2537,521595.257
561,772105.7593,746292.3083
562,92133.27874,107859.0138
61,319072.9495,341095.826
621,940920.1437,968399.7717
622,753697.788,917146.0003
623,221231.1618,221453.7545
624,184103.2362,185534.969
711AS,162559.7135,151345.1338
713,129711.5215,183022.3325
721,241809.8771,200586.49
722,684976.4838,800910.6106
81,613608.12,748110.053
GFE,91984.70896,69513.76614
GFGD,596782.0889,571479.3875
GFGN,371763.3928,349848.6574
GSLE,313484.584,91425.29257
GSLG,2029242.764,1565631.534
HS,1738697.539,1731042.836
ORE,1080250.361,1106385.674
Other,,3227.797334
Used,,8030.75192
