industria_io,tipo,anno,K_corrente,K_2012,I_corrente,I_2012,D_corrente,D_2012,K_inizio_2012,altre_variazioni_2012,delta,altre_variazioni_rel
482,N,2015,2238,2285.764659,1331,1392.520532,924,970.4105458,1866.87046,-3.215786885,0.5198060427,-0.001722554915
482,N,2016,2349,2415.044036,1165,1231.223593,1036,1104.074534,2285.764659,2.13031825,0.4830219637,0.000931993695
482,S,2011,330408,335866.2689,8232,8342.758399,7207,7306.990208,,,,
482,S,2012,337186,337186,8960,8960,7344,7344,335866.2689,-296.2689008,0.02186584567,-0.0008821037665
482,S,2013,343492,338514.3056,8867,8706.821433,7524,7387.550068,337186,9.034200982,0.02190942111,2.679293026e-05
482,S,2014,350468,340693.1591,9896,9598.991214,7671,7437.487295,338514.3056,17.34966393,0.02197096894,5.125238031e-05
482,S,2015,360303,343890.5144,11193,10689.30472,7871,7511.376911,340693.1591,19.42747415,0.02204733705,5.70233761e-05
482,S,2016,366812,345095.8503,9327,8775.701532,8057,7573.234393,343890.5144,2.868681629,0.02202222532,8.341845758e-06
483,E,2011,37776,37852.31363,3033,3063.022503,2814,2827.387291,,,,
483,E,2012,38986,38986,4012,4012,2844,2844,37852.31363,-34.31363287,0.07513411274,-0.0009065134883
483,E,2013,40871,40453.53364,4390,4370.273214,2908,2901.181222,38986,-1.558352558,0.07441597552,-3.997210685e-05
483,E,2014,43446,42547.22028,5188,5090.774409,3036,2998.474454,40453.53364,1.386681169,0.0741214471,3.427836938e-05
483,E,2015,46502,45190.91271,5967,5781.940403,3212,3140.210102,42547.22028,1.962127514,0.07380529402,4.61164678e-05
483,E,2016,48325,46757.20961,4997,4830.886463,3343,3266.323271,45190.91271,1.733710265,0.07227832048,3.836413476e-05
483,N,2011,340,334.8976792,152,146.0410004,151,147.696279,,,,
483,N,2012,422,422,270,270,181,181,334.8976792,-1.897679194,0.5404635841,-0.005666444743
483,N,2013,673,675.4060789,531,541.8969181,277,283.5553296,422,-4.935509587,0.6719320606,-0.01169552035
483,N,2014,1392,1421.328273,1278,1323.83622,544,568.9247861,675.4060789,-8.989239835,0.8423447817,-0.01330938544
483,N,2015,2322,2407.596254,1944,2053.648702,989,1055.688182,1421.328273,-11.69253896,0.742747613,-0.008226487279
483,N,2016,3258,3424.812998,2461,2639.363802,1486,1612.551083,2407.596254,-9.595976153,0.6697763713,-0.003985708208
483,S,2011,6201,6344.409979,56,57.22039544,156,159.5814946,,,,
483,S,2012,6281,6281,101,101,158,158,6344.409979,-6.409979127,0.02490381304,-0.001010334948
483,S,2013,6653,6311.957847,197,190.9585751,163,158.2142043,6281,-1.786523985,0.02518933359,-0.0002844330497
483,S,2014,7162,6547.267981,429,395.1710724,173,160.4902365,6311.957847,0.6292986125,0.02542637965,9.969943205e-05
483,S,2015,7475,6643.021215,291,259.4860305,183,163.5619677,6547.267981,-0.1708292168,0.0249817127,-2.609167935e-05
483,S,2016,7764,6609.857261,152,132.0423383,189,163.4509032,6643.021215,-1.755389444,0.02460490459,-0.0002642456478
484,E,2011,88300,89378.1813,19281,19699.20329,15441,15759.17678,,,,
484,E,2012,93985,93985,21179,21179,16522,16522,89378.1813,-50.1813032,0.1848549585,-0.0005614491419
484,E,2013,97745,96772.15909,20124,19950.31239,17324,17185.81035,93985,22.65704929,0.182856949,0.000241070908
484,E,2014,106432,104477.4446,26340,25803.98373,18492,18136.25692,96772.15909,37.55865532,0.1874119281,0.0003881142642
484,E,2015,113653,110688.2297,26473,25583.112,20029,19408.47198,104477.4446,36.14509131,0.1857671008,0.0003459607139
484,E,2016,116551,112816.2668,23115,22273.74247,20905,20171.23254,110688.2297,25.52722193,0.1822346658,0.0002306227321
484,N,2011,1025,1012.380112,479,466.2827182,413,405.0595272,,,,
484,N,2012,1093,1093,545,545,464,464,1012.380112,-0.3801124445,0.4583258741,-0.000375464156
484,N,2013,1179,1178.382293,595,605.9787436,512,521.3297636,1093,0.7333126369,0.4769714214,0.0006709173256
484,N,2014,1481,1497.473167,927,956.1819206,613,637.8525935,1178.382293,0.7615474402,0.5412951276,0.0006462651764
484,N,2015,1667,1705.69727,937,980.9992374,735,776.3831687,1497.473167,3.608034397,0.5184621573,0.002409415057
484,N,2016,1960,2026.005371,1153,1221.261437,844,906.8053987,1705.69727,5.852062382,0.531633259,0.003430891568
484,S,2011,22877,23249.45409,233,240.0614364,666,683.9926782,,,,
484,S,2012,22893,22893,337,337,671,671,23249.45409,-22.45409132,0.02886089271,-0.0009657900453
484,S,2013,23541,22691.5529,470,457.0248704,676,660.7782843,22893,2.306315897,0.0288637699,0.0001007432795
484,S,2014,23991,22590.4966,589,548.9993962,689,653.8448167,22691.5529,3.789113641,0.02881445882,0.0001669834434
484,S,2015,24460,22630.83242,750,684.2371857,699,650.5918394,22590.4966,6.690474371,0.0287993598,0.000296163227
484,S,2016,25620,23356.71056,1529,1365.81528,715,655.9736607,22630.83242,16.03652087,0.02898583882,0.0007086138314
485,E,2011,16336,16511.44675,1733,1764.130177,2339,2381.230813,,,,
485,E,2012,16480,16480,2326,2326,2339,2339,16511.44675,-18.44675368,0.1416593007,-0.001117210015
485,E,2013,18292,18163.65177,4201,4174.525169,2512,2499.531564,16480,8.658166569,0.1516706046,0.000525374185
485,E,2014,18513,18263.48798,2800,2758.498666,2699,2663.985985,18163.65177,5.323528932,0.1466657706,0.0002930869298
485,E,2015,20502,20089.77202,4786,4660.485775,2903,2842.267159,18263.48798,8.06541712,0.1556256484,0.0004416142813
485,E,2016,22104,21542.3873,4739,4604.657506,3232,3157.902228,20089.77202,5.860001126,0.1571895503,0.0002916907729
485,N,2011,381,375.1261555,186,179.9270833,183,177.4685251,,,,
485,N,2012,459,459,294,294,208,208,375.1261555,-2.126155462,0.5544801315,-0.005667841155
485,N,2013,584,588.5313025,399,407.4375,270,274.5132931,459,-3.392904365,0.5980681767,-0.007391948507
485,N,2014,522,532.8592437,231,240.5520833,285,296.3236946,588.5313025,0.09955245516,0.503496914,0.000169154053
485,N,2015,530,547.3320378,281,297.1458333,265,280.8582068,532.8592437,-1.814832434,0.5270776666,-0.003405838325
485,N,2016,523,544.6371849,260,279.0104167,261,281.2646557,547.3320378,-0.4406138974,0.5138830477,-0.0008050212065
485,S,2011,25607,26139.01079,108,109.652488,622,637.0620089,,,,
485,S,2012,25607,25607,121,121,624,624,26139.01079,-29.01079092,0.02387236476,-0.001109865677
485,S,2013,25771,25182.67155,199,192.8972713,626,612.7683393,25607,-4.457382843,0.02392971997,-0.0001740689203
485,S,2014,25689,24627.83031,54,50.1464687,628,599.7063304,25182.67155,-5.281375244,0.02381424581,-0.0002097225957
485,S,2015,25575,24135.79679,108,98.47451846,624,587.7829339,24627.83031,-2.725102029,0.02386661458,-0.0001106513239
485,S,2016,26173,24285.4632,805,719.8344703,630,581.7632327,24135.79679,11.59516635,0.02410375086,0.000480413655
486,E,2011,24476,24732.19144,2509,2550.651285,3569,3628.410449,,,,
486,E,2012,24266,24266,3085,3085,3514,3514,24732.19144,-37.19144398,0.1420820313,-0.001503766622
486,E,2013,27192,27246.97562,6719,6703.194926,3742,3733.647123,24266,11.42782254,0.1538633118,0.0004709396911
486,E,2014,33974,34048.44519,11328,11280.19316,4525,4505.210241,27246.97562,26.48664758,0.1653471675,0.0009720949565
486,E,2015,35656,36267.17535,7378,7415.579462,5196,5207.070439,34048.44519,10.2211334,0.1529312252,0.0003001938367
486,E,2016,40240,41206.15292,10455,10667.88752,5663,5745.710883,36267.17535,16.80094256,0.1584273059,0.0004632547862
486,N,2011,858,845.7069534,342,334.3972924,401,391.7590345,,,,
486,N,2012,920,920,478,478,401,401,845.7069534,-2.706953369,0.4741595164,-0.003200817208
486,N,2013,1274,1277.285971,882,902.3130629,526,536.4307909,920,-8.596300702,0.5830769466,-0.009343805111
486,N,2014,1674,1702.80856,1154,1199.458777,737,767.3055904,1277.285971,-6.630597444,0.6007312439,-0.005191161254
486,N,2015,1580,1622.302453,728,767.2504387,799,845.9782328,1702.80856,-1.778312718,0.4968134719,-0.001044340955
486,N,2016,1689,1740.292688,888,943.9807131,767,819.9432066,1622.302453,-6.047271682,0.5054194457,-0.003727585858
486,S,2011,151689,154946.8262,5815,6259.024296,3758,4042.12354,,,,
486,S,2012,164846,164846,14281,14281,4204,4204,154946.8262,-177.826247,0.02713188842,-0.001147659822
486,S,2013,175056,175056.4497,14611,14723.14277,4448,4473.787987,164846,-38.90510476,0.02713919651,-0.0002360087886
486,S,2014,192378,187763.5628,17537,17520.57383,4828,4765.634969,175056.4497,-47.82574496,0.02722341838,-0.0002732018446
486,S,2015,193286,197996.91,15253,15319.8358,5099,5049.622758,187763.5628,-36.86587298,0.02689351801,-0.0001963419975
486,S,2016,204055,204756.0635,11589,12033.22018,5125,5247.879188,197996.91,-26.18750219,0.02650485399,-0.0001322621762
487OS,E,2011,63451,64478.5873,6599,6666.012433,6992,7086.902777,,,,
487OS,E,2012,63314,63314,6142,6142,7220,7220,64478.5873,-86.58730445,0.111975158,-0.001342884639
487OS,E,2013,60753,60359.50489,4194,4176.74011,7160,7098.685017,63314,-32.55020365,0.112118726,-0.0005141075221
487OS,E,2014,62301,61180.27881,7986,7908.978745,7195,7084.450866,60359.50489,-3.753955163,0.1173709241,-6.219327295e-05
487OS,E,2015,66261,64803.01331,11293,11187.80504,7736,7571.149436,61180.27881,6.078896128,0.12375147,9.936038615e-05
487OS,E,2016,65490,64370.79555,7465,7487.872252,8050,7902.88152,64803.01331,-17.2084963,0.1219523771,-0.000265550866
487OS,N,2011,2067,2034.364871,1165,1139.325795,895,878.0977507,,,,
487OS,N,2012,2185,2185,1152,1152,1002,1002,2034.364871,0.635128885,0.4925370145,0.0003122000846
487OS,N,2013,1983,1985.746695,780,791.256277,977,992.5187175,2185,2.009135726,0.454241976,0.000919512918
487OS,N,2014,2440,2471.349197,1519,1563.891923,1042,1075.938186,1985.746695,-2.351235929,0.5418305306,-0.001184056322
487OS,N,2015,3151,3241.35875,2097,2196.995498,1354,1423.847515,2471.349197,-3.138429235,0.5761417758,-0.001269925448
487OS,N,2016,3209,3333.394651,1636,1737.924774,1543,1648.179648,3241.35875,2.290775375,0.5084841805,0.0007067330558
487OS,S,2011,61289,62496.75122,1659,1745.944215,1269,1299.032615,,,,
487OS,S,2012,62766,62766,1651,1651,1317,1317,62496.75122,-64.75121768,0.02107309539,-0.001036073339
487OS,S,2013,63984,62714.77519,1292,1282.716627,1354,1324.44018,62766,-9.501262003,0.02110123602,-0.0001513759361
487OS,S,2014,65090,62643.69367,1297,1263.479651,1383,1327.530601,62714.77519,-7.030566049,0.02116774871,-0.0001121038229
487OS,S,2015,66258,62928.62308,1687,1613.35555,1409,1332.286789,62643.69367,3.860645692,0.02126769211,6.162864074e-05
487OS,S,2016,67422,63016.22086,1509,1421.461038,1430,1338.257149,62928.62308,4.393892475,0.02126627094,6.982343264e-05
493,E,2011,8264,8326.452011,914,924.6941819,1253,1267.522071,,,,
493,E,2012,8501,8501,1429,1429,1250,1250,8326.452011,-4.45201069,0.1501239662,-0.0005346828017
493,E,2013,8696,8665.529051,1435,1431.362145,1269,1267.147966,8501,0.3148709186,0.1490586949,3.703927992e-05
493,E,2014,10243,10160.54356,2908,2883.590544,1405,1394.823465,8665.529051,6.247426876,0.1609622975,0.0007209515817
493,E,2015,10583,10568.05218,1962,1947.210724,1555,1540.277733,10160.54356,0.5756338286,0.1515940289,5.665384193e-05
493,E,2016,11250,11233.89471,2290,2285.203676,1630,1626.904455,10568.05218,7.543303831,0.1539455357,0.000713783742
493,N,2011,486,480.3613952,206,202.7346567,214,213.9931915,,,,
493,N,2012,620,620,384,384,245,245,480.3613952,0.6386047774,0.5100326597,0.001329425686
493,N,2013,723,725.9635803,408,411.4960416,303,308.6005674,620,3.068106111,0.4977428506,0.004948558244
493,N,2014,1143,1159.496731,862,880.8943086,433,447.7083688,725.9635803,0.3472109752,0.616709131,0.0004782760246
493,N,2015,1205,1232.170298,622,646.0683997,549,575.5177305,1159.496731,2.122897866,0.4963513178,0.001830878698
493,N,2016,1414,1464.36315,835,878.8412698,612,651.9605674,1232.170298,5.312148939,0.5291156331,0.004311213269
493,S,2011,32608,33409.22586,808,848.0617445,745,773.1410158,,,,
493,S,2012,32911,32911,306,306,768,768,33409.22586,-36.22585741,0.02298766225,-0.001084306999
493,S,2013,34256,33358.4535,1234,1211.57565,786,766.2217583,32911,2.099606325,0.02328163101,6.37964913e-05
493,S,2014,35719,34026.86218,1510,1441.202433,822,780.8720028,33358.4535,8.078248314,0.02340851931,0.0002421649527
493,S,2015,36744,34529.50866,1385,1292.396724,851,796.1502978,34026.86218,6.400056779,0.02339769955,0.0001880883622
493,S,2016,38106,35255.01739,1656,1524.805779,882,815.1056774,34529.50866,15.80863233,0.0236060607,0.0004578296347
4A0,E,2011,145405,145882.1968,28902,29029.09496,22406,22621.20228,,,,
4A0,E,2012,151652,151652,29903,29903,23731,23731,145882.1968,-402.1968292,0.1626723515,-0.002756997344
4A0,E,2013,156523,156915.802,29811,29969.77526,24672,24680.41792,151652,-25.55531243,0.1627437681,-0.0001685128612
4A0,E,2014,165471,166462.6441,34869,35407.45965,25833,25823.1945,156915.802,-37.42302544,0.1645672021,-0.0002384911204
4A0,E,2015,170390,174660.3164,34030,35343.2622,26867,27082.63181,166462.6441,-62.95815429,0.1626949514,-0.0003782119082
4A0,E,2016,175846,183003.2161,34071,36557.86303,27466,28137.62691,174660.3164,-77.3364467,0.1610991408,-0.0004427820142
4A0,N,2011,19356,19201.96322,9127,8982.962423,7367,7235.286597,,,,
4A0,N,2012,21067,21067,9907,9907,8033,8033,19201.96322,-8.963221966,0.4183426407,-0.0004667867479
4A0,N,2013,22715,22557.45555,10139,10254.50585,8645,8753.71868,21067,-10.33161137,0.4155180462,-0.0004904168305
4A0,N,2014,25344,25265.86971,12153,12410.83404,9454,9681.214858,22557.45555,-21.2050284,0.4291802697,-0.0009400452258
4A0,N,2015,27072,27272.22754,12293,12674.76449,10262,10658.22582,25265.86971,-10.18084446,0.4218428236,-0.0004029485065
4A0,N,2016,29596,29821.11003,13424,14048.87771,10889,11486.12857,27272.22754,-13.86664136,0.4211657649,-0.0005084528334
4A0,S,2011,408211,418639.6069,7277,7508.965864,10538,10913.71451,,,,
4A0,S,2012,416015,416015,9316,9316,10834,10834,418639.6069,-1106.606902,0.02587906118,-0.002643340198
4A0,S,2013,426578,414492.6061,9525,9277.322995,11077,10781.82771,416015,-17.88922492,0.02591692056,-4.300139399e-05
4A0,S,2014,438270,416310.2827,13231,12574.35538,11368,10785.32564,414492.6061,28.64690382,0.02602055014,6.911318418e-05
4A0,S,2015,449478,419112.1341,14598,13619.14414,11652,10846.77634,416310.2827,29.48355965,0.02605454824,7.082111798e-05
4A0,S,2016,464684,425979.6741,19298,17753.37489,11990,10979.75825,419112.1341,93.92344194,0.02619766253,0.0002241009847
511,E,2011,28162,28019.20185,7665,7534.708032,5894,5835.220761,,,,
511,E,2012,27617,27617,5816,5816,6177,6177,28019.20185,-41.20185038,0.2204559585,-0.001470486226
511,E,2013,27364,27844.78445,6424,6504.989143,6228,6272.694905,27617,-4.509787611,0.2271316546,-0.0001632975201
511,E,2014,29304,30377.152,8915,9218.247964,6569,6660.959856,27844.78445,-24.92055977,0.2392175047,-0.0008949812418
511,E,2015,28887,31176.68944,7276,7829.912427,6779,7002.401329,30377.152,-27.97365367,0.2305153995,-0.0009208780886
511,E,2016,28720,32077.78712,7065,7994.445543,6661,7059.546664,31176.68944,-33.80120129,0.2264366997,-0.001084181865
511,N,2011,192353,195439.5279,52988,53947.18401,42965,43737.03587,,,,
511,N,2012,199960,199960,50181,50181,45655,45655,195439.5279,-5.527859519,0.2336016695,-2.828424515e-05
511,N,2013,215360,209638.7742,57673,57061.4797,47869,47363.27184,199960,-19.4336374,0.2368637319,-9.718762453e-05
511,N,2014,230112,220240.3499,62603,61021.13517,51748,50377.16894,209638.7742,-42.39059832,0.2403046341,-0.0002022078143
511,N,2015,232711,222860.03,57372,55099.45153,54569,52458.25655,220240.3499,-21.51481162,0.2381864022,-9.768787434e-05
511,N,2016,239430,226313.5359,58362,56724.65602,54809,53247.54508,222860.03,-23.60511129,0.2389281967,-0.000105918999
511,S,2011,46345,46925.28637,1418,1456.533641,1261,1296.614987,,,,
511,S,2012,46629,46629,1052,1052,1293,1293,46925.28637,-55.28637195,0.02755444026,-0.00117817868
511,S,2013,48113,46585.03555,1266,1245.078489,1311,1287.593064,46629,-1.449872493,0.02761356804,-3.10937934e-05
511,S,2014,49662,47011.15515,1795,1715.722376,1354,1291.180775,46585.03555,1.577996973,0.02771664247,3.387347362e-05
511,S,2015,51717,48082.01948,2547,2377.606411,1404,1310.105014,47011.15515,3.362934574,0.02786796048,7.153482112e-05
511,S,2016,53366,49045.8367,2492,2297.744866,1447,1334.417931,48082.01948,0.4902837333,0.027752951,1.019682074e-05
512,E,2011,11484,11315.62742,1948,1910.990316,1885,1853.53779,,,,
512,E,2012,11304,11304,1875,1875,1871,1871,11315.62742,-15.62742022,0.165346554,-0.001381047611
512,E,2013,10772,11119.8379,1630,1665.387256,1821,1846.632812,11304,-2.91654184,0.163361006,-0.0002580097169
512,E,2014,10284,10999.43425,1569,1667.25411,1722,1784.76533,11119.8379,-2.892428976,0.160502819,-0.0002601143112
512,E,2015,10064,11335.81051,1872,2103.18251,1635,1751.544892,10999.43425,-15.26136435,0.1592395438,-0.001387468119
512,E,2016,10049,11781.44973,1853,2212.922237,1569,1755.805029,11335.81051,-11.4779803,0.1548901182,-0.001012541652
512,N,2011,213259,215201.1549,28816,28806.3682,27708,27661.26305,,,,
512,N,2012,214976,214976,27353,27353,27546,27546,215201.1549,-32.15486146,0.1280011718,-0.0001494176993
512,N,2013,218111,218398.7958,31019,31183.72983,27660,27713.9092,214976,-47.02486361,0.1289162939,-0.0002187447139
512,N,2014,221729,221068.1288,30912,30842.14653,28265,28132.39866,218398.7958,-40.41486967,0.1288120594,-0.0001850507899
512,N,2015,231101,225559.5389,33665,33218.17005,29127,28682.42157,221068.1288,-44.338297,0.1297447159,-0.0002005639494
512,N,2016,238434,229558.8243,34481,33426.17098,30358,29386.48511,225559.5389,-40.40048082,0.1302826085,-0.000179112269
512,S,2011,32327,33003.86922,512,521.1091077,924,942.3923256,,,,
512,S,2012,32683,32683,636,636,931,931,33003.86922,-25.86921775,0.02820881376,-0.0007838237869
512,S,2013,34042,32510.88995,779,753.3407462,958,925.1219336,32683,-0.3288659883,0.02830590624,-1.006229503e-05
512,S,2014,34792,32135.95037,584,547.5445036,990,918.2143659,32510.88995,-4.269714511,0.02824328609,-0.0001313318251
512,S,2015,35996,32415.85366,1312,1191.148011,1018,913.9894917,32135.95037,2.744770955,0.02844134003,8.541122708e-05
512,S,2016,37258,32388.78855,1003,891.9508574,1053,917.5637759,32415.85366,-1.452190858,0.02830601919,-4.479878498e-05
513,E,2011,331220,318050.4281,71634,67073.96139,40667,38362.71888,,,,
513,E,2012,350097,350097,74932,74932,42151,42151,318050.4281,-734.4281188,0.1325292981,-0.002309156203
513,E,2013,354801,386525.6072,79021,83357.19593,44187,46392.79956,350097,-535.7892027,0.1325141305,-0.001530402153
513,E,2014,361918,432435.1511,84861,98030.51768,45106,51449.69925,386525.6072,-671.2745203,0.1331081261,-0.001736688354
513,E,2015,367499,489487.5289,90432,115656.181,46130,57781.8319,432435.1511,-821.9713076,0.1336196462,-0.001900796699
513,E,2016,386583,558297.3946,95671,135343.2689,47615,65547.53898,489487.5289,-985.8642285,0.1339105393,-0.002014074252
513,N,2011,146035,146610.058,39643,39386.04702,32639,32472.43273,,,,
513,N,2012,155351,155351,42946,42946,34053,34053,146610.058,-152.058019,0.2322691939,-0.001037159531
513,N,2013,159448,160050.9531,39760,40331.29166,35171,35490.8601,155351,-140.4784207,0.2284559488,-0.0009042646699
513,N,2014,168086,168237.3574,44774,45361.918,36676,37012.98361,160050.9531,-162.5301108,0.231257502,-0.001015489802
513,N,2015,178215,176480.9266,47039,47432.93697,38757,39021.3805,168237.3574,-167.9873099,0.2319424241,-0.0009985137219
513,N,2016,191625,187807.0586,52744,52966.26251,41304,41454.32296,176480.9266,-185.8075275,0.2348940691,-0.001052847643
513,S,2011,780048,779008.0586,17954,18058.14532,19109,19321.36582,,,,
513,S,2012,775103,775103,15959,15959,19247,19247,779008.0586,-617.0585836,0.02470706148,-0.0007921080877
513,S,2013,780751,773480.6154,17597,17568.1377,19265,19165.30674,775103,-25.21557417,0.02472614187,-3.253190114e-05
513,S,2014,785451,769989.8292,15715,15615.70655,19356,19088.73761,773480.6154,-17.75517752,0.02467901229,-2.295490949e-05
513,S,2015,786999,769084.3124,18369,18133.53324,19472,19019.04997,769989.8292,-20.00003659,0.02470039116,-2.597441659e-05
513,S,2016,786920,768668.384,18863,18595.04685,19487,18990.84339,769084.3124,-20.13183414,0.02469279777,-2.617636821e-05
514,E,2011,33199,32557.86603,13227,12842.94427,7088,6924.030611,,,,
514,E,2012,37978,37978,14184,14184,8677,8677,32557.86603,-86.86602858,0.266510096,-0.002668050434
514,E,2013,45816,47471.01073,20009,20405.26202,10693,10834.7646,37978,-77.48669726,0.2852905524,-0.002040304841
514,E,2014,53625,57493.23239,22323,23406.26355,12935,13293.85739,47471.01073,-90.18449728,0.2800415913,-0.001899780432
514,E,2015,59752,67766.47634,23698,25944.80561,14789,15563.85924,57493.23239,-107.7024194,0.2707076745,-0.001873306038
514,E,2016,70326,83479.99092,29532,34013.575,16703,18133.68081,67766.47634,-166.3796076,0.2675907291,-0.002455190481
514,N,2011,55272,55442.1594,21370,21365.72408,16246,16242.7263,,,,
514,N,2012,59638,59638,22224,22224,18020,18020,55442.1594,-8.15940115,0.3250234153,-0.0001471696131
514,N,2013,70232,69330.84357,30545,30619.02484,20847,20886.16733,59638,-40.01393767,0.3502157572,-0.0006709470081
514,N,2014,81667,80591.49703,36452,36623.86223,25196,25313.55576,69330.84357,-49.65301769,0.3651124731,-0.0007161750115
514,N,2015,92175,91818.66636,40790,41190.84166,29561,29916.37006,80591.49703,-47.30226083,0.3712100056,-0.0005869386049
514,N,2016,110831,110660.7955,53712,55121.21029,35205,36184.7492,91818.66636,-94.33193055,0.3940892482,-0.00102737204
514,S,2011,22005,22186.16527,2276,2322.080081,513,525.3378921,,,,
514,S,2012,23443,23443,1853,1853,564,564,22186.16527,-32.16526664,0.02542124758,-0.001449789373
514,S,2013,26960,26337.38292,3545,3506.004813,626,619.2849174,23443,7.663021993,0.02641662404,0.0003268788974
514,S,2014,34281,32897.30589,7506,7287.193193,765,739.784112,26337.38292,12.51389272,0.02808874801,0.0004751380484
514,S,2015,44285,42014.67318,10486,10038.16516,989,940.0596683,32897.30589,19.26179028,0.02857558219,0.0005855126965
514,S,2016,55400,52258.69674,12009,11400.3199,1254,1184.748861,42014.67318,28.45252186,0.02819845476,0.0006772044076
521CI,E,2011,358291,361155.1055,62288,62756.69159,58853,59373.27451,,,,
521CI,E,2012,373721,373721,73695,73695,60573,60573,361155.1055,-556.1054894,0.1677201819,-0.001539796838
521CI,E,2013,392764,392375.1515,82613,82364.93909,63957,63806.85698,373721,96.06944187,0.1707339352,0.0002570619309
521CI,E,2014,419016,416558.9202,92132,91582.82182,67893,67549.20624,392375.1515,150.1530999,0.1721546484,0.0003826773926
521CI,E,2015,447133,445390.9128,101268,100694.4058,72468,71994.34229,416558.9202,131.9290827,0.1728311142,0.0003167116975
521CI,E,2016,469493,468489.3464,100264,99989.65059,77254,77027.35631,445390.9128,136.1393824,0.1729432597,0.0003056626853
521CI,N,2011,33061,32600.79412,16930,16570.99682,14743,14423.47335,,,,
521CI,N,2012,36682,36682,20220,20220,16099,16099,32600.79412,-39.79411799,0.4938223266,-0.001220648731
521CI,N,2013,38635,38686.02033,19436,19726.61191,17430,17702.5847,36682,-20.00687663,0.4825959517,-0.0005454140077
521CI,N,2014,41663,42106.22244,21907,22566.21621,18540,19108.90051,38686.02033,-37.1135921,0.4939484688,-0.000959354097
521CI,N,2015,47788,48997.9024,27544,28921.20653,20886,21952.59018,42106.22244,-76.9363851,0.5213621386,-0.001827197517
521CI,N,2016,55547,57571.20649,32636,34800.41535,24416,26138.37457,48997.9024,-88.73668934,0.5334590522,-0.00181103037
521CI,S,2011,355907,360965.8062,4743,4869.485422,8970,9215.84624,,,,
521CI,S,2012,356710,356710,5607,5607,9105,9105,360965.8062,-757.8061553,0.02522399586,-0.002099384879
521CI,S,2013,362491,352174.7511,4554,4487.147055,9156,8987.797063,356710,-34.59892323,0.02519636978,-9.699454243e-05
521CI,S,2014,368331,349619.813,6646,6371.257821,9314,8897.79936,352174.7511,-28.39653022,0.02526529609,-8.063193098e-05
521CI,S,2015,372182,346985.0538,6642,6213.559228,9445,8826.528775,349619.813,-21.78963486,0.02524607716,-6.232379874e-05
521CI,S,2016,377497,346708.6076,9263,8534.990415,9535,8787.626743,346985.0538,-23.8099239,0.02532566359,-6.861945099e-05
523,E,2011,33225,32676.94363,6989,6774.202171,5905,5779.437966,,,,
523,E,2012,32475,32475,5711,5711,5840,5840,32676.94363,-72.94362622,0.178719285,-0.002232265877
523,E,2013,31756,32946.79054,6169,6321.406508,5732,5838.383358,32475,-11.23260459,0.1797808578,-0.0003458846678
523,E,2014,31281,33620.94496,6274,6604.446958,5682,5918.763655,32946.79054,-11.52888693,0.1796461372,-0.0003499244309
523,E,2015,30684,34632.3843,6542,7107.39503,5670,6083.009668,33620.94496,-12.94602555,0.1809291701,-0.0003850583487
523,E,2016,30588,35674.90145,6601,7380.209893,5707,6317.771083,34632.3843,-19.92165282,0.1824237982,-0.0005752319172
523,N,2011,22199,21886.0249,11080,10839.65232,10131,9916.008934,,,,
523,N,2012,21839,21839,10110,10110,10156,10156,21886.0249,-1.024898093,0.4640404115,-4.682888272e-05
523,N,2013,22978,23008.28984,11461,11628.02825,10294,10450.29851,21839,-8.43989954,0.4785154315,-0.0003864599817
523,N,2014,24535,24781.08468,12632,12991.40213,10880,11206.72462,23008.28984,-11.88266892,0.4870733416,-0.0005164516357
523,N,2015,26539,27120.95818,13965,14576.17484,11665,12223.80915,24781.08468,-12.49218962,0.4932717558,-0.0005041018092
523,N,2016,29984,30880.99662,16498,17437.98055,12836,13657.69913,27120.95818,-20.24299428,0.5035846828,-0.0007463967218
523,S,2011,100089,101653.6928,1776,1820.428511,2555,2621.195598,,,,
523,S,2012,100426,100426,1549,1549,2596,2596,101653.6928,-180.6928263,0.02553768513,-0.001777533322
523,S,2013,102617,99255.67799,1435,1399.760259,2620,2564.606623,100426,-5.475648588,0.02553727743,-5.452421274e-05
523,S,2014,104491,98362.43971,1750,1647.971376,2678,2537.513883,99255.67799,-3.695769958,0.02556542794,-3.723484674e-05
523,S,2015,106777,98377.85469,2767,2544.553616,2738,2529.129361,98362.43971,-0.009277585955,0.02571234883,-9.432041318e-08
523,S,2016,110256,99290.72653,3837,3447.42233,2808,2540.559524,98377.85469,6.009038236,0.02582450625,6.108120831e-05
524,E,2011,45372,45430.25252,7596,7538.82494,8069,8062.091143,,,,
524,E,2012,45787,45787,8652,8652,8182,8182,45430.25252,-113.2525211,0.1801002536,-0.002492887775
524,E,2013,47178,47482.66554,10147,10220.76586,8475,8511.88236,45787,-13.2179532,0.1859017267,-0.0002886835389
524,E,2014,48786,49272.91699,10578,10707.29873,8864,8918.039597,47482.66554,0.9923113542,0.1878167431,2.089839193e-05
524,E,2015,50899,52300.15014,12135,12439.51361,9269,9400.975498,49272.91699,-11.30496107,0.1907939711,-0.0002294355959
524,E,2016,53477,55619.4176,12769,13322.28611,9727,9996.131265,52300.15014,-6.887384567,0.1911300682,-0.0001316895754
524,N,2011,41165,40540.66977,20819,20339.9564,19000,18564.44238,,,,
